Gator Windows/Focal Loci,ACZH_006413|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006414|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006415|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006416|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006417|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006418|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006419|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006420|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006421|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006422|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006423|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006424|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006425|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006426|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006427|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006428|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006429|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006430|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006431|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006432|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006433|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006434|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006435|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006436|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006437|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006438|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006439|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006440|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006441|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006442|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006443|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006444|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006445|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006446|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006447|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006448|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006449|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006450|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006451|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006452|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006453|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006454|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006455|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006456|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006457|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006458|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006459|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006460|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006461|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006462|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006463|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006464|_|GCA_016919685.1_ASM1691968v1.gbk,ACZH_006465|_|GCA_016919685.1_ASM1691968v1.gbk,Gator Focal Window,Gator Focal Score
window_11--GCA_016919685.1_ASM1691968v1.gbff,5.064459077737939e-06,1.6628041215141062e-05,5.1365531189759374e-05,0.0001492880826738763,0.00040822647077659005,0.0010502673140396319,0.002542267247899793,0.0057898221111939005,0.012406003628582839,0.025010435413296627,0.04743875323507952,0.08465798862252993,0.14214293892444493,0.2245459883927878,0.3337397804916307,0.4666951811826348,0.614018310951685,0.7600672046071236,0.8852080009911975,0.9699767682248563,1.0,1.0,1.0,1.0,1.0,1.0,0.9699767682248563,1.0,0.9699767682248563,0.8852080009911975,0.7600672046071236,0.614018310951685,0.4666951811826348,0.3337397804916307,0.2245459883927878,0.14214293892444493,0.08465798862252993,0.04743875323507952,0.025010435413296627,0.012406003628582839,0.0057898221111939005,0.002542267247899793,0.0010502673140396319,0.00040822647077659005,0.0001492880826738763,5.1365531189759374e-05,1.6628041215141062e-05,5.064459077737939e-06,1.4512682881906395e-06,3.9127762181163025e-07,9.925330569458503e-08,2.3687957512450023e-08,5.319035832639475e-09,window_11--GCA_016919685.1_ASM1691968v1.gbff,1.0
window_29--GCA_004295505.1_ASM429550v1.gbff,5.064459077737939e-06,1.6628041215141062e-05,5.1365531189759374e-05,0.0001492880826738763,0.00040822647077659005,0.0010502673140396319,0.002542267247899793,0.0057898221111939005,0.012406003628582839,0.025010435413296627,0.04743875323507952,0.08465798862252993,0.14214293892444493,0.2245459883927878,0.3337397804916307,0.4666951811826348,0.614018310951685,0.7600672046071236,0.8852080009911975,0.9699767682248563,1.0,1.0,1.0,1.0,1.0,1.0,0.9699767682248563,1.0,0.9699767682248563,0.8852080009911975,0.7600672046071236,0.614018310951685,0.4666951811826348,0.3337397804916307,0.2245459883927878,0.14214293892444493,0.08465798862252993,0.04743875323507952,0.025010435413296627,0.012406003628582839,0.0057898221111939005,0.002542267247899793,0.0010502673140396319,0.00040822647077659005,0.0001492880826738763,5.1365531189759374e-05,1.6628041215141062e-05,5.064459077737939e-06,1.4512682881906395e-06,3.9127762181163025e-07,9.925330569458503e-08,2.3687957512450023e-08,5.319035832639475e-09,window_11--GCA_016919685.1_ASM1691968v1.gbff,1.0
window_28--GCA_009862825.1_ASM986282v1.gbff,0.0,0.0,0.0,0.0,0.00040822647077659005,0.0010502673140396319,0.002542267247899793,0.0057898221111939005,0.012406003628582839,0.025010435413296627,0.04743875323507952,0.08465798862252993,0.14214293892444493,0.2245459883927878,0.3337397804916307,0.4666951811826348,0.614018310951685,0.7600672046071236,0.8852080009911975,0.9699767682248563,1.0,1.0,1.0,1.0,1.0,1.0,0.9699767682248563,1.0,0.9699767682248563,0.8852080009911975,0.7600672046071236,0.614018310951685,0.4666951811826348,0.3337397804916307,0.2245459883927878,0.14214293892444493,0.08465798862252993,0.04743875323507952,0.025010435413296627,0.012406003628582839,0.0057898221111939005,0.002542267247899793,0.0010502673140396319,0.00040822647077659005,0.0001492880826738763,5.1365531189759374e-05,1.6628041215141062e-05,5.064459077737939e-06,1.4512682881906395e-06,3.9127762181163025e-07,9.925330569458503e-08,2.3687957512450023e-08,5.319035832639475e-09,window_11--GCA_016919685.1_ASM1691968v1.gbff,0.9999870138733409
window_14--GCA_007856155.1_ASM785615v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614018310951685,0.7600672046071236,0.8852080009911975,0.9699767682248563,1.0,1.0,1.0,1.0,1.0,1.0,0.9699767682248563,1.0,0.9699767682248563,0.8852080009911975,0.7600672046071236,0.614018310951685,0.4666951811826348,0.0,0.0,0.0,0.0,0.0,0.025010435413296627,0.012406003628582839,0.0057898221111939005,0.002542267247899793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_11--GCA_016919685.1_ASM1691968v1.gbff,0.8726269550897245
window_18--GCA_031679605.1_ASM3167960v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614018310951685,0.7600672046071236,0.8852080009911975,0.9699767682248563,1.0,1.0,1.0,1.0,1.0,1.0,0.9699767682248563,1.0,0.9699767682248563,0.8852080009911975,0.7600672046071236,0.614018310951685,0.4666951811826348,0.0,0.0,0.0,0.0,0.0,0.0,0.012406003628582839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_11--GCA_016919685.1_ASM1691968v1.gbff,0.8706795846511757
window_20--GCA_026898115.1_ASM2689811v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614018310951685,0.7600672046071236,0.8852080009911975,0.9699767682248563,1.0,1.0,1.0,1.0,1.0,1.0,0.9699767682248563,1.0,0.9699767682248563,0.8852080009911975,0.7600672046071236,0.614018310951685,0.4666951811826348,0.0,0.0,0.0,0.0,0.0,0.0,0.012406003628582839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_11--GCA_016919685.1_ASM1691968v1.gbff,0.8706795846511757
window_17--GCA_009296025.1_ASM929602v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614018310951685,0.7600672046071236,0.8852080009911975,0.9699767682248563,1.0,1.0,1.0,1.0,1.0,1.0,0.9699767682248563,1.0,0.9699767682248563,0.8852080009911975,0.7600672046071236,0.614018310951685,0.0,0.0,0.0,0.14214293892444493,0.0,0.0,0.025010435413296627,0.012406003628582839,0.0057898221111939005,0.002542267247899793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_11--GCA_016919685.1_ASM1691968v1.gbff,0.8536714786627658
window_19--GCA_008704495.1_ASM870449v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614018310951685,0.7600672046071236,0.8852080009911975,0.9699767682248563,1.0,1.0,1.0,1.0,1.0,1.0,0.9699767682248563,1.0,0.9699767682248563,0.8852080009911975,0.7600672046071236,0.614018310951685,0.0,0.0,0.0,0.0,0.0,0.0,0.025010435413296627,0.012406003628582839,0.0057898221111939005,0.002542267247899793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_11--GCA_016919685.1_ASM1691968v1.gbff,0.8453696191245486
window_1--GCA_000938975.1_Siranensis.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7600672046071236,0.8852080009911975,0.9699767682248563,1.0,1.0,1.0,1.0,1.0,1.0,0.9699767682248563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_11--GCA_016919685.1_ASM1691968v1.gbff,0.6182303733222608
window_5--GCA_000418455.1_ASM41845v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7600672046071236,0.8852080009911975,0.9699767682248563,1.0,1.0,1.0,1.0,1.0,1.0,0.9699767682248563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_11--GCA_016919685.1_ASM1691968v1.gbff,0.6182303733222608
