Locus,Conservation %
AADV_005143|_|GCA_000470535.1_STREPTOMYCES1.gbk,10.57
AADV_005144|_|GCA_000470535.1_STREPTOMYCES1.gbk,0.06
AADV_005145|_|GCA_000470535.1_STREPTOMYCES1.gbk,0.06
AADV_005146|_|GCA_000470535.1_STREPTOMYCES1.gbk,97.6
AADV_005147|_|GCA_000470535.1_STREPTOMYCES1.gbk,100.0
AADV_005148|_|GCA_000470535.1_STREPTOMYCES1.gbk,100.0
AADV_005149|_|GCA_000470535.1_STREPTOMYCES1.gbk,100.0
AADV_005150|_|GCA_000470535.1_STREPTOMYCES1.gbk,0.19
AADV_005151|_|GCA_000470535.1_STREPTOMYCES1.gbk,0.13
AADV_005152|_|GCA_000470535.1_STREPTOMYCES1.gbk,0.06
