Locus,Conservation %
AJAT_004569|_|GCA_900091815.1_IMG_taxon_2657245719_annotated_assembly.gbk,0.11
AJAT_004570|_|GCA_900091815.1_IMG_taxon_2657245719_annotated_assembly.gbk,1.69
AJAT_004571|_|GCA_900091815.1_IMG_taxon_2657245719_annotated_assembly.gbk,1.69
AJAT_004572|_|GCA_900091815.1_IMG_taxon_2657245719_annotated_assembly.gbk,100.0
AJAT_004573|_|GCA_900091815.1_IMG_taxon_2657245719_annotated_assembly.gbk,100.0
AJAT_004574|_|GCA_900091815.1_IMG_taxon_2657245719_annotated_assembly.gbk,100.0
AJAT_004575|_|GCA_900091815.1_IMG_taxon_2657245719_annotated_assembly.gbk,95.83
AJAT_004576|_|GCA_900091815.1_IMG_taxon_2657245719_annotated_assembly.gbk,0.68
AJAT_004577|_|GCA_900091815.1_IMG_taxon_2657245719_annotated_assembly.gbk,1.58
AJAT_004578|_|GCA_900091815.1_IMG_taxon_2657245719_annotated_assembly.gbk,1.58
