Gator Windows/Focal Loci,ABRL_006075|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006076|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006077|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006078|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006079|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006080|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006081|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006082|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006083|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006084|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006085|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006086|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006087|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006088|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006089|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006090|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006091|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006092|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006093|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006094|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006095|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006096|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006097|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006098|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006099|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006100|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006101|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006102|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006103|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006104|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006105|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006106|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006107|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006108|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006109|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006110|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006111|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006112|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006113|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006114|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006115|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006116|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006117|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006118|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006119|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006120|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006121|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006122|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006123|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006124|_|GCA_004295505.1_ASM429550v1.gbk,ABRL_006125|_|GCA_004295505.1_ASM429550v1.gbk,Gator Focal Window,Gator Focal Score
window_4--GCA_003932715.1_ASM393271v1.gbff,1.19431430139515e-09,5.979605490768056e-09,2.8033234556735373e-08,1.2306106500026733e-07,5.058420249208811e-07,1.946955050323644e-06,7.016874714483081e-06,2.3679814680665547e-05,7.482722780743299e-05,0.00022140518743308843,0.0006134267461370611,0.0015914185032648292,0.0038659201394728045,0.008793628879684863,0.01872967180059824,0.037354160565470015,0.0697580890130815,0.12198233656853638,0.1997312871625162,0.30622598005804236,0.4396273930099435,0.5909819776334961,0.7438930621376465,0.8767859043289749,0.967661338543614,1.0,1.0,1.0,1.0,1.0,1.0,0.967661338543614,0.8767859043289749,0.7438930621376465,0.5909819776334961,0.4396273930099435,0.30622598005804236,0.1997312871625162,0.12198233656853638,0.0697580890130815,0.037354160565470015,0.01872967180059824,0.008793628879684863,0.0038659201394728045,0.0015914185032648292,0.0006134267461370611,0.00022140518743308843,7.482722780743299e-05,2.3679814680665547e-05,7.016874714483081e-06,1.946955050323644e-06,window_23--GCA_004295505.1_ASM429550v1.gbff,1.0
window_20--GCA_000297155.3_ASM29715v3.gbff,1.19431430139515e-09,5.979605490768056e-09,2.8033234556735373e-08,1.2306106500026733e-07,5.058420249208811e-07,1.946955050323644e-06,7.016874714483081e-06,2.3679814680665547e-05,7.482722780743299e-05,0.00022140518743308843,0.0006134267461370611,0.0015914185032648292,0.0038659201394728045,0.008793628879684863,0.01872967180059824,0.037354160565470015,0.0697580890130815,0.12198233656853638,0.1997312871625162,0.30622598005804236,0.4396273930099435,0.5909819776334961,0.7438930621376465,0.8767859043289749,0.967661338543614,1.0,1.0,1.0,1.0,1.0,1.0,0.967661338543614,0.8767859043289749,0.7438930621376465,0.5909819776334961,0.4396273930099435,0.30622598005804236,0.1997312871625162,0.12198233656853638,0.0697580890130815,0.037354160565470015,0.01872967180059824,0.008793628879684863,0.0038659201394728045,0.0015914185032648292,0.0006134267461370611,0.00022140518743308843,7.482722780743299e-05,2.3679814680665547e-05,7.016874714483081e-06,1.946955050323644e-06,window_23--GCA_004295505.1_ASM429550v1.gbff,1.0
window_23--GCA_004295505.1_ASM429550v1.gbff,1.19431430139515e-09,5.979605490768056e-09,2.8033234556735373e-08,1.2306106500026733e-07,5.058420249208811e-07,1.946955050323644e-06,7.016874714483081e-06,2.3679814680665547e-05,7.482722780743299e-05,0.00022140518743308843,0.0006134267461370611,0.0015914185032648292,0.0038659201394728045,0.008793628879684863,0.01872967180059824,0.037354160565470015,0.0697580890130815,0.12198233656853638,0.1997312871625162,0.30622598005804236,0.4396273930099435,0.5909819776334961,0.7438930621376465,0.8767859043289749,0.967661338543614,1.0,1.0,1.0,1.0,1.0,1.0,0.967661338543614,0.8767859043289749,0.7438930621376465,0.5909819776334961,0.4396273930099435,0.30622598005804236,0.1997312871625162,0.12198233656853638,0.0697580890130815,0.037354160565470015,0.01872967180059824,0.008793628879684863,0.0038659201394728045,0.0015914185032648292,0.0006134267461370611,0.00022140518743308843,7.482722780743299e-05,2.3679814680665547e-05,7.016874714483081e-06,1.946955050323644e-06,window_23--GCA_004295505.1_ASM429550v1.gbff,1.0
window_21--GCA_016919685.1_ASM1691968v1.gbff,1.19431430139515e-09,5.979605490768056e-09,2.8033234556735373e-08,1.2306106500026733e-07,5.058420249208811e-07,1.946955050323644e-06,7.016874714483081e-06,2.3679814680665547e-05,7.482722780743299e-05,0.00022140518743308843,0.0006134267461370611,0.0015914185032648292,0.0038659201394728045,0.008793628879684863,0.01872967180059824,0.037354160565470015,0.0697580890130815,0.12198233656853638,0.1997312871625162,0.30622598005804236,0.4396273930099435,0.5909819776334961,0.7438930621376465,0.8767859043289749,0.967661338543614,1.0,1.0,0.0,1.0,1.0,1.0,0.967661338543614,0.8767859043289749,0.7438930621376465,0.5909819776334961,0.4396273930099435,0.30622598005804236,0.1997312871625162,0.12198233656853638,0.0697580890130815,0.037354160565470015,0.01872967180059824,0.008793628879684863,0.0038659201394728045,0.0015914185032648292,0.0006134267461370611,0.00022140518743308843,7.482722780743299e-05,2.3679814680665547e-05,7.016874714483081e-06,1.946955050323644e-06,window_23--GCA_004295505.1_ASM429550v1.gbff,0.932321996593269
window_26--GCA_009862825.1_ASM986282v1.gbff,1.19431430139515e-09,5.979605490768056e-09,2.8033234556735373e-08,1.2306106500026733e-07,5.058420249208811e-07,1.946955050323644e-06,7.016874714483081e-06,2.3679814680665547e-05,7.482722780743299e-05,0.00022140518743308843,0.0006134267461370611,0.0015914185032648292,0.0038659201394728045,0.008793628879684863,0.01872967180059824,0.037354160565470015,0.0697580890130815,0.12198233656853638,0.1997312871625162,0.30622598005804236,0.4396273930099435,0.5909819776334961,0.7438930621376465,0.8767859043289749,0.967661338543614,1.0,1.0,0.0,1.0,1.0,1.0,0.967661338543614,0.8767859043289749,0.7438930621376465,0.5909819776334961,0.4396273930099435,0.30622598005804236,0.1997312871625162,0.12198233656853638,0.0697580890130815,0.037354160565470015,0.01872967180059824,0.008793628879684863,0.0038659201394728045,0.0015914185032648292,0.0006134267461370611,0.00022140518743308843,0.0,0.0,0.0,0.0,window_23--GCA_004295505.1_ASM429550v1.gbff,0.9323147231792104
window_16--GCA_007856155.1_ASM785615v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015914185032648292,0.0038659201394728045,0.008793628879684863,0.01872967180059824,0.0,0.0,0.0,0.0,0.0,0.4396273930099435,0.5909819776334961,0.7438930621376465,0.8767859043289749,0.967661338543614,1.0,1.0,1.0,1.0,1.0,1.0,0.967661338543614,0.8767859043289749,0.7438930621376465,0.5909819776334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_23--GCA_004295505.1_ASM429550v1.gbff,0.8683935570143811
window_8--GCA_026898115.1_ASM2689811v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008793628879684863,0.0,0.0,0.0,0.0,0.0,0.0,0.4396273930099435,0.5909819776334961,0.7438930621376465,0.8767859043289749,0.967661338543614,1.0,1.0,1.0,1.0,1.0,1.0,0.967661338543614,0.8767859043289749,0.7438930621376465,0.5909819776334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_23--GCA_004295505.1_ASM429550v1.gbff,0.8667566284391985
window_18--GCA_031679605.1_ASM3167960v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008793628879684863,0.0,0.0,0.0,0.0,0.0,0.0,0.4396273930099435,0.5909819776334961,0.7438930621376465,0.8767859043289749,0.967661338543614,1.0,1.0,1.0,1.0,1.0,1.0,0.967661338543614,0.8767859043289749,0.7438930621376465,0.5909819776334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_23--GCA_004295505.1_ASM429550v1.gbff,0.8667566284391985
window_17--GCA_009296025.1_ASM929602v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015914185032648292,0.0038659201394728045,0.008793628879684863,0.01872967180059824,0.0,0.0,0.12198233656853638,0.0,0.0,0.0,0.5909819776334961,0.7438930621376465,0.8767859043289749,0.967661338543614,1.0,1.0,1.0,1.0,1.0,1.0,0.967661338543614,0.8767859043289749,0.7438930621376465,0.5909819776334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_23--GCA_004295505.1_ASM429550v1.gbff,0.8468959738024083
window_19--GCA_008704495.1_ASM870449v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015914185032648292,0.0038659201394728045,0.008793628879684863,0.01872967180059824,0.0,0.0,0.0,0.0,0.0,0.0,0.5909819776334961,0.7438930621376465,0.8767859043289749,0.967661338543614,1.0,1.0,0.0,1.0,1.0,1.0,0.967661338543614,0.8767859043289749,0.7438930621376465,0.5909819776334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_23--GCA_004295505.1_ASM429550v1.gbff,0.770962449405831
