Locus,Conservation %
AATZ_003891|_|GCA_001426425.1_Root1310.gbk,26.91
AATZ_003892|_|GCA_001426425.1_Root1310.gbk,6.74
AATZ_003893|_|GCA_001426425.1_Root1310.gbk,24.64
AATZ_003894|_|GCA_001426425.1_Root1310.gbk,0.07
AATZ_003895|_|GCA_001426425.1_Root1310.gbk,27.12
AATZ_003896|_|GCA_001426425.1_Root1310.gbk,24.85
AATZ_003897|_|GCA_001426425.1_Root1310.gbk,100.0
AATZ_003898|_|GCA_001426425.1_Root1310.gbk,100.0
AATZ_003899|_|GCA_001426425.1_Root1310.gbk,100.0
AATZ_003900|_|GCA_001426425.1_Root1310.gbk,97.45
AATZ_003901|_|GCA_001426425.1_Root1310.gbk,0.14
AATZ_003902|_|GCA_001426425.1_Root1310.gbk,10.25
AATZ_003903|_|GCA_001426425.1_Root1310.gbk,5.16
AATZ_003904|_|GCA_001426425.1_Root1310.gbk,3.65
