Gator Windows/Focal Loci,ABVV_006288|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006289|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006290|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006291|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006292|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006293|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006294|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006295|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006296|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006297|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006298|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006299|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006300|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006301|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006302|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006303|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006304|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006305|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006306|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006307|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006308|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006309|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006310|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006311|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006312|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006313|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006314|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006315|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006316|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006317|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006318|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006319|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006320|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006321|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006322|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006323|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006324|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006325|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006326|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006327|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006328|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006329|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006330|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006331|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006332|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006333|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006334|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006335|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006336|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006337|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006338|_|GCA_007856155.1_ASM785615v1.gbk,ABVV_006339|_|GCA_007856155.1_ASM785615v1.gbk,Gator Focal Window,Gator Focal Score
window_16--GCA_007856155.1_ASM785615v1.gbff,1.2135544949897613e-08,5.370046631655842e-08,2.230544672143904e-07,8.69676807956203e-07,3.1828703361179883e-06,1.093437840431885e-05,3.5260084343096544e-05,0.00010673004412490317,0.00030325231566945857,0.0008087897850370493,0.0020247960450986073,0.0047581815095008514,0.010495782461187451,0.021732151871677347,0.042238135266256686,0.07705855071100118,0.13196265098725754,0.21212669275073545,0.3200764379182959,0.45334223790329314,0.6027160516928406,0.7521655290745897,0.8811060625534317,0.9688511238360098,1.0,1.0,1.0,1.0,1.0,1.0,0.9688511238360098,0.8811060625534317,0.7521655290745897,0.6027160516928406,0.45334223790329314,0.3200764379182959,0.21212669275073545,0.13196265098725754,0.07705855071100118,0.042238135266256686,0.021732151871677347,0.010495782461187451,0.0047581815095008514,0.0020247960450986073,0.0008087897850370493,0.00030325231566945857,0.00010673004412490317,3.5260084343096544e-05,1.093437840431885e-05,3.1828703361179883e-06,8.69676807956203e-07,2.230544672143904e-07,window_16--GCA_007856155.1_ASM785615v1.gbff,1.0
window_23--GCA_004295505.1_ASM429550v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6027160516928406,0.7521655290745897,0.8811060625534317,0.9688511238360098,1.0,1.0,1.0,1.0,1.0,1.0,0.9688511238360098,0.8811060625534317,0.7521655290745897,0.6027160516928406,0.45334223790329314,0.3200764379182959,0.21212669275073545,0.13196265098725754,0.07705855071100118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_16--GCA_007856155.1_ASM785615v1.gbff,0.9091407987658209
window_17--GCA_009296025.1_ASM929602v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6027160516928406,0.7521655290745897,0.8811060625534317,0.9688511238360098,1.0,1.0,1.0,1.0,1.0,1.0,0.9688511238360098,0.8811060625534317,0.7521655290745897,0.6027160516928406,0.0,0.3200764379182959,0.21212669275073545,0.13196265098725754,0.07705855071100118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_16--GCA_007856155.1_ASM785615v1.gbff,0.8788449645310619
window_8--GCA_026898115.1_ASM2689811v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6027160516928406,0.7521655290745897,0.8811060625534317,0.9688511238360098,1.0,1.0,1.0,1.0,1.0,1.0,0.9688511238360098,0.8811060625534317,0.7521655290745897,0.6027160516928406,0.45334223790329314,0.0,0.21212669275073545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_16--GCA_007856155.1_ASM785615v1.gbff,0.8737824027382158
window_18--GCA_031679605.1_ASM3167960v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6027160516928406,0.7521655290745897,0.8811060625534317,0.9688511238360098,1.0,1.0,1.0,1.0,1.0,1.0,0.9688511238360098,0.8811060625534317,0.7521655290745897,0.6027160516928406,0.45334223790329314,0.0,0.21212669275073545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_16--GCA_007856155.1_ASM785615v1.gbff,0.8737824027382158
window_21--GCA_016919685.1_ASM1691968v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6027160516928406,0.7521655290745897,0.8811060625534317,0.9688511238360098,1.0,1.0,1.0,0.0,1.0,1.0,0.9688511238360098,0.8811060625534317,0.7521655290745897,0.6027160516928406,0.45334223790329314,0.3200764379182959,0.21212669275073545,0.13196265098725754,0.07705855071100118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_16--GCA_007856155.1_ASM785615v1.gbff,0.8423130653190606
window_26--GCA_009862825.1_ASM986282v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6027160516928406,0.7521655290745897,0.8811060625534317,0.9688511238360098,1.0,1.0,1.0,0.0,1.0,1.0,0.9688511238360098,0.8811060625534317,0.7521655290745897,0.6027160516928406,0.45334223790329314,0.3200764379182959,0.21212669275073545,0.13196265098725754,0.07705855071100118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_16--GCA_007856155.1_ASM785615v1.gbff,0.8423130653190606
window_19--GCA_008704495.1_ASM870449v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6027160516928406,0.7521655290745897,0.8811060625534317,0.9688511238360098,1.0,1.0,1.0,0.0,1.0,1.0,0.9688511238360098,0.8811060625534317,0.7521655290745897,0.6027160516928406,0.0,0.3200764379182959,0.21212669275073545,0.13196265098725754,0.07705855071100118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010673004412490317,0.0,0.0,0.0,0.0,0.0,window_16--GCA_007856155.1_ASM785615v1.gbff,0.8120243636112412
window_9--GCA_000938975.1_Siranensis.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7521655290745897,0.8811060625534317,0.9688511238360098,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_16--GCA_007856155.1_ASM785615v1.gbff,0.5748603639053517
window_13--GCA_000418455.1_ASM41845v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7521655290745897,0.8811060625534317,0.9688511238360098,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_16--GCA_007856155.1_ASM785615v1.gbff,0.5748603639053517
