Gator Windows/Focal Loci,ABYQ_006335|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006336|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006337|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006338|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006339|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006340|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006341|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006342|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006343|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006344|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006345|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006346|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006347|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006348|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006349|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006350|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006351|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006352|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006353|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006354|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006355|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006356|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006357|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006358|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006359|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006360|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006361|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006362|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006363|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006364|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006365|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006366|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006367|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006368|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006369|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006370|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006371|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006372|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006373|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006374|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006375|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006376|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006377|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006378|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006379|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006380|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006381|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006382|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006383|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006384|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006385|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006386|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006387|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006388|_|GCA_009296025.1_ASM929602v1.gbk,ABYQ_006389|_|GCA_009296025.1_ASM929602v1.gbk,Gator Focal Window,Gator Focal Score
window_17--GCA_009296025.1_ASM929602v1.gbff,3.7266531720786714e-06,1.1913141008122971e-05,3.5984354764134295e-05,0.00010270256461965541,0.00027696761351683107,0.0007057596428454758,0.0016992793655526586,0.003865920139472811,0.008310384238421136,0.01687988414878991,0.03239648935097407,0.05874982408963055,0.1006688997728978,0.16299121800184546,0.24935220877729627,0.360447788597821,0.4923247200732052,0.6353909887688034,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.9720532702866082,0.9720532702866082,1.0,1.0,1.0,1.0,1.0,0.9720532702866082,0.8928125015622331,0.7748374288832494,0.6353909887688034,0.4923247200732052,0.360447788597821,0.24935220877729627,0.16299121800184546,0.1006688997728978,0.05874982408963055,0.03239648935097407,0.01687988414878991,0.008310384238421136,0.003865920139472811,0.0016992793655526586,0.0007057596428454758,0.00027696761351683107,0.00010270256461965541,3.5984354764134295e-05,1.1913141008122971e-05,3.7266531720786714e-06,1.1015185152977603e-06,3.0764138530539896e-07,8.118538349144054e-08,2.0243754694022527e-08,window_17--GCA_009296025.1_ASM929602v1.gbff,1.0
window_16--GCA_007856155.1_ASM785615v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353909887688034,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,1.0,1.0,1.0,0.9720532702866082,0.8928125015622331,0.7748374288832494,0.6353909887688034,0.4923247200732052,0.360447788597821,0.24935220877729627,0.16299121800184546,0.1006688997728978,0.05874982408963055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.8632971443671504
window_4--GCA_003932715.1_ASM393271v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353909887688034,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,1.0,1.0,1.0,0.9720532702866082,0.8928125015622331,0.7748374288832494,0.6353909887688034,0.4923247200732052,0.0,0.24935220877729627,0.16299121800184546,0.1006688997728978,0.05874982408963055,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.8437988811932691
window_20--GCA_000297155.3_ASM29715v3.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353909887688034,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,1.0,1.0,1.0,0.9720532702866082,0.8928125015622331,0.7748374288832494,0.6353909887688034,0.4923247200732052,0.0,0.24935220877729627,0.16299121800184546,0.1006688997728978,0.05874982408963055,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.8437988811932691
window_21--GCA_016919685.1_ASM1691968v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353909887688034,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,1.0,1.0,1.0,0.9720532702866082,0.8928125015622331,0.7748374288832494,0.6353909887688034,0.4923247200732052,0.0,0.24935220877729627,0.16299121800184546,0.1006688997728978,0.05874982408963055,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.8437988811932691
window_23--GCA_004295505.1_ASM429550v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353909887688034,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,1.0,1.0,1.0,0.9720532702866082,0.8928125015622331,0.7748374288832494,0.6353909887688034,0.4923247200732052,0.0,0.24935220877729627,0.16299121800184546,0.1006688997728978,0.05874982408963055,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.8437988811932691
window_8--GCA_026898115.1_ASM2689811v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353909887688034,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,1.0,1.0,1.0,0.9720532702866082,0.8928125015622331,0.7748374288832494,0.6353909887688034,0.4923247200732052,0.360447788597821,0.0,0.16299121800184546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.8411678580450038
window_18--GCA_031679605.1_ASM3167960v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353909887688034,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,1.0,1.0,1.0,0.9720532702866082,0.8928125015622331,0.7748374288832494,0.6353909887688034,0.4923247200732052,0.360447788597821,0.0,0.16299121800184546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.8411678580450038
window_26--GCA_009862825.1_ASM986282v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353909887688034,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,0.0,1.0,1.0,0.9720532702866082,0.8928125015622331,0.7748374288832494,0.6353909887688034,0.4923247200732052,0.0,0.24935220877729627,0.16299121800184546,0.1006688997728978,0.05874982408963055,0.0,0.0,0.0,0.0,0.0,0.0,0.00027696761351683107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.7896627267968773
window_19--GCA_008704495.1_ASM870449v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353909887688034,0.7748374288832494,0.8928125015622331,0.9720532702866082,1.0,1.0,0.0,0.9720532702866082,1.0,1.0,0.0,1.0,1.0,0.9720532702866082,0.8928125015622331,0.7748374288832494,0.6353909887688034,0.0,0.360447788597821,0.24935220877729627,0.16299121800184546,0.1006688997728978,0.05874982408963055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_17--GCA_009296025.1_ASM929602v1.gbff,0.7825084229117154
