Locus,Conservation %
AJDX_002145|_|GCA_947488945.1_3_371_J.fasta.gbk,6.88
AJDX_002146|_|GCA_947488945.1_3_371_J.fasta.gbk,22.82
AJDX_002147|_|GCA_947488945.1_3_371_J.fasta.gbk,31.08
AJDX_002148|_|GCA_947488945.1_3_371_J.fasta.gbk,17.43
AJDX_002149|_|GCA_947488945.1_3_371_J.fasta.gbk,33.31
AJDX_002150|_|GCA_947488945.1_3_371_J.fasta.gbk,0.23
AJDX_002151|_|GCA_947488945.1_3_371_J.fasta.gbk,100.0
AJDX_002152|_|GCA_947488945.1_3_371_J.fasta.gbk,100.0
AJDX_002153|_|GCA_947488945.1_3_371_J.fasta.gbk,100.0
AJDX_002154|_|GCA_947488945.1_3_371_J.fasta.gbk,97.88
AJDX_002155|_|GCA_947488945.1_3_371_J.fasta.gbk,0.17
AJDX_002156|_|GCA_947488945.1_3_371_J.fasta.gbk,5.85
AJDX_002157|_|GCA_947488945.1_3_371_J.fasta.gbk,0.06
