Locus,Conservation %
AAPV_002663|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,11.35
AAPV_002664|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,12.52
AAPV_002665|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,15.43
AAPV_002666|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,97.6
AAPV_002667|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,100.0
AAPV_002668|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,100.0
AAPV_002669|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,100.0
AAPV_002670|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,4.93
AAPV_002671|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,26.26
AAPV_002672|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,2.66
AAPV_002673|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,24.12
AAPV_002674|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,23.99
AAPV_002675|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,6.23
AAPV_002676|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,1.17
AAPV_002677|_|GCA_001049855.1_Wb2n_11_upgraded.gbk,0.45
