Locus,Conservation %
AADJ_004702|_|GCA_000403665.1_Streptomyces_lividans_1326.gbk,2.78
AADJ_004703|_|GCA_000403665.1_Streptomyces_lividans_1326.gbk,0.72
AADJ_004704|_|GCA_000403665.1_Streptomyces_lividans_1326.gbk,12.76
AADJ_004705|_|GCA_000403665.1_Streptomyces_lividans_1326.gbk,0.41
AADJ_004706|_|GCA_000403665.1_Streptomyces_lividans_1326.gbk,100.0
AADJ_004707|_|GCA_000403665.1_Streptomyces_lividans_1326.gbk,100.0
AADJ_004708|_|GCA_000403665.1_Streptomyces_lividans_1326.gbk,100.0
AADJ_004709|_|GCA_000403665.1_Streptomyces_lividans_1326.gbk,96.19
AADJ_004710|_|GCA_000403665.1_Streptomyces_lividans_1326.gbk,0.82
AADJ_004711|_|GCA_000403665.1_Streptomyces_lividans_1326.gbk,3.29
AADJ_004712|_|GCA_000403665.1_Streptomyces_lividans_1326.gbk,0.93
