Gator Windows/Focal Loci,ACUY_008962|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008963|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008964|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008965|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008966|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008967|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008968|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008969|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008970|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008971|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008972|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008973|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008974|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008975|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008976|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008977|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008978|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008979|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008980|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008981|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008982|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008983|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008984|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008985|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008986|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008987|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008988|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008989|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008990|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008991|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008992|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008993|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008994|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008995|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008996|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008997|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008998|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_008999|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009000|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009001|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009002|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009003|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009004|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009005|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009006|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009007|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009008|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009009|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009010|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009011|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009012|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009013|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009014|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009015|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009016|_|GCA_015689475.1_ASM1568947v1.gbk,ACUY_009017|_|GCA_015689475.1_ASM1568947v1.gbk,Gator Focal Window,Gator Focal Score
window_2--GCA_021233395.1_ASM2123339v1.gbff,5.756097406877361e-06,1.7671839347366324e-05,5.136553118975955e-05,0.00014135078390762406,0.00036826552782023115,0.0009083648554215826,0.002121270180933379,0.004689948349344859,0.009816949148913819,0.01945456084291661,0.036500829221177374,0.06483663077047035,0.1090371660435466,0.17360613991103707,0.26169294520394,0.37346968721092055,0.5046091365505257,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.5046091365505257,0.37346968721092055,0.26169294520394,0.17360613991103707,0.1090371660435466,0.06483663077047035,0.036500829221177374,0.01945456084291661,0.009816949148913819,0.004689948349344859,0.002121270180933379,0.0009083648554215826,0.00036826552782023115,0.00014135078390762406,5.136553118975955e-05,1.7671839347366324e-05,5.756097406877361e-06,1.7750513585638562e-06,window_3--GCA_015689475.1_ASM1568947v1.gbff,1.0
window_3--GCA_015689475.1_ASM1568947v1.gbff,5.756097406877361e-06,1.7671839347366324e-05,5.136553118975955e-05,0.00014135078390762406,0.00036826552782023115,0.0009083648554215826,0.002121270180933379,0.004689948349344859,0.009816949148913819,0.01945456084291661,0.036500829221177374,0.06483663077047035,0.1090371660435466,0.17360613991103707,0.26169294520394,0.37346968721092055,0.5046091365505257,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.5046091365505257,0.37346968721092055,0.26169294520394,0.17360613991103707,0.1090371660435466,0.06483663077047035,0.036500829221177374,0.01945456084291661,0.009816949148913819,0.004689948349344859,0.002121270180933379,0.0009083648554215826,0.00036826552782023115,0.00014135078390762406,5.136553118975955e-05,1.7671839347366324e-05,5.756097406877361e-06,1.7750513585638562e-06,window_3--GCA_015689475.1_ASM1568947v1.gbff,1.0
window_28--GCA_040653035.1_ASM4065303v1.gbff,5.756097406877361e-06,1.7671839347366324e-05,5.136553118975955e-05,0.00014135078390762406,0.00036826552782023115,0.0009083648554215826,0.002121270180933379,0.004689948349344859,0.009816949148913819,0.01945456084291661,0.036500829221177374,0.06483663077047035,0.1090371660435466,0.17360613991103707,0.26169294520394,0.37346968721092055,0.5046091365505257,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.5046091365505257,0.37346968721092055,0.26169294520394,0.17360613991103707,0.1090371660435466,0.06483663077047035,0.036500829221177374,0.01945456084291661,0.009816949148913819,0.004689948349344859,0.002121270180933379,0.0009083648554215826,0.00036826552782023115,0.00014135078390762406,5.136553118975955e-05,1.7671839347366324e-05,5.756097406877361e-06,1.7750513585638562e-06,window_3--GCA_015689475.1_ASM1568947v1.gbff,1.0
window_6--GCA_030122705.1_ASM3012270v1.gbff,5.756097406877361e-06,1.7671839347366324e-05,5.136553118975955e-05,0.00014135078390762406,0.00036826552782023115,0.0009083648554215826,0.002121270180933379,0.004689948349344859,0.009816949148913819,0.01945456084291661,0.036500829221177374,0.06483663077047035,0.1090371660435466,0.17360613991103707,0.0,0.37346968721092055,0.5046091365505257,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.5046091365505257,0.37346968721092055,0.26169294520394,0.17360613991103707,0.1090371660435466,0.06483663077047035,0.036500829221177374,0.01945456084291661,0.009816949148913819,0.004689948349344859,0.002121270180933379,0.0009083648554215826,0.00036826552782023115,0.00014135078390762406,5.136553118975955e-05,1.7671839347366324e-05,5.756097406877361e-06,1.7750513585638562e-06,window_3--GCA_015689475.1_ASM1568947v1.gbff,0.987920106851412
window_14--GCA_002812405.1_ASM281240v1.gbff,5.756097406877361e-06,1.7671839347366324e-05,5.136553118975955e-05,0.00014135078390762406,0.00036826552782023115,0.0009083648554215826,0.002121270180933379,0.004689948349344859,0.009816949148913819,0.01945456084291661,0.036500829221177374,0.06483663077047035,0.1090371660435466,0.17360613991103707,0.0,0.37346968721092055,0.5046091365505257,0.6454926035082613,0.0,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.5046091365505257,0.37346968721092055,0.26169294520394,0.17360613991103707,0.1090371660435466,0.06483663077047035,0.036500829221177374,0.01945456084291661,0.009816949148913819,0.004689948349344859,0.002121270180933379,0.0009083648554215826,0.00036826552782023115,0.00014135078390762406,5.136553118975955e-05,1.7671839347366324e-05,5.756097406877361e-06,1.7750513585638562e-06,window_3--GCA_015689475.1_ASM1568947v1.gbff,0.951834424878283
window_10--GCA_033547115.1_ASM3354711v1.gbff,5.756097406877361e-06,1.7671839347366324e-05,5.136553118975955e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1090371660435466,0.17360613991103707,0.0,0.37346968721092055,0.5046091365505257,0.6454926035082613,0.0,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.5046091365505257,0.37346968721092055,0.26169294520394,0.17360613991103707,0.1090371660435466,0.06483663077047035,0.036500829221177374,0.01945456084291661,0.009816949148913819,0.004689948349344859,0.002121270180933379,0.0009083648554215826,0.00036826552782023115,0.00014135078390762406,5.136553118975955e-05,1.7671839347366324e-05,5.756097406877361e-06,1.7750513585638562e-06,window_3--GCA_015689475.1_ASM1568947v1.gbff,0.9454255770838426
window_4--GCA_003932715.1_ASM393271v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_3--GCA_015689475.1_ASM1568947v1.gbff,0.3620079269099208
window_8--GCA_026898115.1_ASM2689811v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_3--GCA_015689475.1_ASM1568947v1.gbff,0.3620079269099208
window_9--GCA_000938975.1_Siranensis.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_3--GCA_015689475.1_ASM1568947v1.gbff,0.3620079269099208
window_13--GCA_000418455.1_ASM41845v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_3--GCA_015689475.1_ASM1568947v1.gbff,0.3620079269099208
