Locus,Conservation %
AJDL_001786|_|GCA_900460065.1_43874_D01.gbk,16.28
AJDL_001787|_|GCA_900460065.1_43874_D01.gbk,21.85
AJDL_001788|_|GCA_900460065.1_43874_D01.gbk,16.74
AJDL_001789|_|GCA_900460065.1_43874_D01.gbk,30.85
AJDL_001790|_|GCA_900460065.1_43874_D01.gbk,31.08
AJDL_001791|_|GCA_900460065.1_43874_D01.gbk,33.31
AJDL_001792|_|GCA_900460065.1_43874_D01.gbk,8.72
AJDL_001793|_|GCA_900460065.1_43874_D01.gbk,100.0
AJDL_001794|_|GCA_900460065.1_43874_D01.gbk,100.0
AJDL_001795|_|GCA_900460065.1_43874_D01.gbk,100.0
AJDL_001796|_|GCA_900460065.1_43874_D01.gbk,97.88
AJDL_001797|_|GCA_900460065.1_43874_D01.gbk,6.25
