Locus,Conservation %
AJDR_003337|_|GCA_913919575.1_CMBFB.gbk,6.42
AJDR_003338|_|GCA_913919575.1_CMBFB.gbk,11.35
AJDR_003339|_|GCA_913919575.1_CMBFB.gbk,1.1
AJDR_003340|_|GCA_913919575.1_CMBFB.gbk,1.17
AJDR_003341|_|GCA_913919575.1_CMBFB.gbk,97.6
AJDR_003342|_|GCA_913919575.1_CMBFB.gbk,100.0
AJDR_003343|_|GCA_913919575.1_CMBFB.gbk,100.0
AJDR_003344|_|GCA_913919575.1_CMBFB.gbk,100.0
AJDR_003345|_|GCA_913919575.1_CMBFB.gbk,25.68
AJDR_003346|_|GCA_913919575.1_CMBFB.gbk,27.82
AJDR_003347|_|GCA_913919575.1_CMBFB.gbk,0.97
AJDR_003348|_|GCA_913919575.1_CMBFB.gbk,24.12
AJDR_003349|_|GCA_913919575.1_CMBFB.gbk,4.73
AJDR_003350|_|GCA_913919575.1_CMBFB.gbk,26.26
