Gator Windows/Focal Loci,ABXR_000429|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000430|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000431|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000432|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000433|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000434|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000435|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000436|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000437|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000438|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000439|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000440|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000441|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000442|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000443|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000444|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000445|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000446|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000447|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000448|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000449|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000450|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000451|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000452|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000453|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000454|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000455|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000456|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000457|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000458|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000459|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000460|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000461|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000462|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000463|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000464|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000465|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000466|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000467|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000468|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000469|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000470|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000471|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000472|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000473|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000474|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000475|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000476|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000477|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000478|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000479|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000480|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000481|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000482|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000483|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000484|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000485|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000486|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000487|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000488|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000489|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000490|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000491|_|GCA_008704495.1_ASM870449v1.gbk,ABXR_000492|_|GCA_008704495.1_ASM870449v1.gbk,Gator Focal Window,Gator Focal Score
window_19--GCA_008704495.1_ASM870449v1.gbff,1.946955050323644e-06,5.458463624457845e-06,1.4672727600366628e-05,3.7816142718100655e-05,9.344789881784413e-05,0.00022140518743308916,0.0005029583033067785,0.0010954740934747847,0.002287695298872474,0.0045805769874088815,0.008793628879684861,0.016186092504467717,0.028565500784550377,0.048335654665708876,0.07841864016987828,0.12198233656853646,0.18192841165598994,0.2601537238121947,0.35668554089100946,0.46888560648317157,0.5909819776334964,0.7141797166572412,0.8274975665783691,0.9192886072171264,0.9791809811385648,1.0,0.9791809811385648,1.0,1.0,0.9791809811385648,1.0,1.0,1.0,1.0,0.9791809811385648,1.0,0.9791809811385648,0.9192886072171264,0.8274975665783691,0.7141797166572412,0.5909819776334964,0.46888560648317157,0.35668554089100946,0.2601537238121947,0.18192841165598994,0.12198233656853646,0.07841864016987828,0.048335654665708876,0.028565500784550377,0.016186092504467717,0.008793628879684861,0.0045805769874088815,0.002287695298872474,0.0010954740934747847,0.0005029583033067785,0.00022140518743308916,9.344789881784413e-05,3.7816142718100655e-05,1.4672727600366628e-05,5.458463624457845e-06,1.946955050323644e-06,6.658361469857314e-07,2.1832564452642354e-07,6.863854556346581e-08,window_19--GCA_008704495.1_ASM870449v1.gbff,1.0
window_16--GCA_007856155.1_ASM785615v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12198233656853646,0.18192841165598994,0.2601537238121947,0.35668554089100946,0.46888560648317157,0.5909819776334964,0.7141797166572412,0.8274975665783691,0.9192886072171264,0.9791809811385648,1.0,0.9791809811385648,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9791809811385648,1.0,0.9791809811385648,0.9192886072171264,0.8274975665783691,0.7141797166572412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010954740934747847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_19--GCA_008704495.1_ASM870449v1.gbff,0.8493960118700505
window_21--GCA_016919685.1_ASM1691968v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12198233656853646,0.18192841165598994,0.2601537238121947,0.35668554089100946,0.46888560648317157,0.5909819776334964,0.7141797166572412,0.8274975665783691,0.9192886072171264,0.9791809811385648,1.0,0.9791809811385648,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9791809811385648,1.0,0.9791809811385648,0.9192886072171264,0.8274975665783691,0.7141797166572412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_19--GCA_008704495.1_ASM870449v1.gbff,0.8493465712168333
window_23--GCA_004295505.1_ASM429550v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12198233656853646,0.18192841165598994,0.2601537238121947,0.35668554089100946,0.46888560648317157,0.5909819776334964,0.7141797166572412,0.8274975665783691,0.9192886072171264,0.9791809811385648,1.0,0.9791809811385648,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9791809811385648,1.0,0.9791809811385648,0.9192886072171264,0.8274975665783691,0.7141797166572412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_19--GCA_008704495.1_ASM870449v1.gbff,0.8493465712168333
window_26--GCA_009862825.1_ASM986282v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12198233656853646,0.18192841165598994,0.2601537238121947,0.35668554089100946,0.46888560648317157,0.5909819776334964,0.7141797166572412,0.8274975665783691,0.9192886072171264,0.9791809811385648,1.0,0.9791809811385648,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9791809811385648,1.0,0.9791809811385648,0.9192886072171264,0.8274975665783691,0.7141797166572412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_19--GCA_008704495.1_ASM870449v1.gbff,0.8493465712168333
window_17--GCA_009296025.1_ASM929602v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12198233656853646,0.18192841165598994,0.2601537238121947,0.35668554089100946,0.0,0.5909819776334964,0.7141797166572412,0.8274975665783691,0.9192886072171264,0.9791809811385648,1.0,0.9791809811385648,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9791809811385648,1.0,0.9791809811385648,0.9192886072171264,0.8274975665783691,0.7141797166572412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_19--GCA_008704495.1_ASM870449v1.gbff,0.8281849473986377
window_8--GCA_026898115.1_ASM2689811v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2601537238121947,0.0,0.46888560648317157,0.5909819776334964,0.7141797166572412,0.8274975665783691,0.9192886072171264,0.9791809811385648,1.0,0.9791809811385648,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9791809811385648,1.0,0.9791809811385648,0.9192886072171264,0.8274975665783691,0.7141797166572412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_19--GCA_008704495.1_ASM870449v1.gbff,0.8195327104954321
window_18--GCA_031679605.1_ASM3167960v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2601537238121947,0.0,0.46888560648317157,0.5909819776334964,0.7141797166572412,0.8274975665783691,0.9192886072171264,0.9791809811385648,1.0,0.9791809811385648,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9791809811385648,1.0,0.9791809811385648,0.9192886072171264,0.8274975665783691,0.7141797166572412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_19--GCA_008704495.1_ASM870449v1.gbff,0.8195327104954321
window_13--GCA_000418455.1_ASM41845v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9791809811385648,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9791809811385648,1.0,0.9791809811385648,0.9192886072171264,0.8274975665783691,0.7141797166572412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_19--GCA_008704495.1_ASM870449v1.gbff,0.604698032412886
window_9--GCA_000938975.1_Siranensis.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9791809811385648,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9791809811385648,1.0,0.9791809811385648,0.9192886072171264,0.8274975665783691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_19--GCA_008704495.1_ASM870449v1.gbff,0.5724658583100356
