Gator Windows/Focal Loci,ACBI_002735|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002736|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002737|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002738|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002739|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002740|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002741|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002742|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002743|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002744|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002745|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002746|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002747|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002748|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002749|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002750|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002751|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002752|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002753|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002754|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002755|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002756|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002757|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002758|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002759|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002760|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002761|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002762|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002763|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002764|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002765|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002766|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002767|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002768|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002769|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002770|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002771|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002772|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002773|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002774|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002775|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002776|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002777|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002778|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002779|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002780|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002781|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002782|_|GCA_009862825.1_ASM986282v1.gbk,ACBI_002783|_|GCA_009862825.1_ASM986282v1.gbk,Gator Focal Window,Gator Focal Score
window_21--GCA_016919685.1_ASM1691968v1.gbff,0.00011141793776294907,0.00033546262790251185,0.0009406975448679023,0.0024568164604892857,0.0059760228950059375,0.013538440136652369,0.028565500784550377,0.056134762834133725,0.10273981490249434,0.17513078834515097,0.2780373004531941,0.4111122905071875,0.5661541495171976,0.7261490370736908,0.8674284731834108,0.9650691177896804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9650691177896804,0.8674284731834108,0.7261490370736908,0.5661541495171976,0.4111122905071875,0.2780373004531941,0.17513078834515097,0.10273981490249434,0.056134762834133725,0.028565500784550377,0.013538440136652369,0.0059760228950059375,0.0024568164604892857,0.0009406975448679023,0.00033546262790251185,0.00011141793776294907,3.446536829740845e-05,9.929504305851081e-06,2.6643363505138906e-06,6.658361469857314e-07,1.5497531357028997e-07,3.3594989978122907e-08,6.782711498648326e-09,1.2754076295260394e-09,2.2336314362031582e-10,window_26--GCA_009862825.1_ASM986282v1.gbff,1.0
window_23--GCA_004295505.1_ASM429550v1.gbff,0.00011141793776294907,0.00033546262790251185,0.0009406975448679023,0.0024568164604892857,0.0059760228950059375,0.013538440136652369,0.028565500784550377,0.056134762834133725,0.10273981490249434,0.17513078834515097,0.2780373004531941,0.4111122905071875,0.5661541495171976,0.7261490370736908,0.8674284731834108,0.9650691177896804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9650691177896804,0.8674284731834108,0.7261490370736908,0.5661541495171976,0.4111122905071875,0.2780373004531941,0.17513078834515097,0.10273981490249434,0.056134762834133725,0.028565500784550377,0.013538440136652369,0.0059760228950059375,0.0024568164604892857,0.0009406975448679023,0.00033546262790251185,0.00011141793776294907,3.446536829740845e-05,9.929504305851081e-06,2.6643363505138906e-06,6.658361469857314e-07,1.5497531357028997e-07,3.3594989978122907e-08,6.782711498648326e-09,1.2754076295260394e-09,2.2336314362031582e-10,window_26--GCA_009862825.1_ASM986282v1.gbff,1.0
window_26--GCA_009862825.1_ASM986282v1.gbff,0.00011141793776294907,0.00033546262790251185,0.0009406975448679023,0.0024568164604892857,0.0059760228950059375,0.013538440136652369,0.028565500784550377,0.056134762834133725,0.10273981490249434,0.17513078834515097,0.2780373004531941,0.4111122905071875,0.5661541495171976,0.7261490370736908,0.8674284731834108,0.9650691177896804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9650691177896804,0.8674284731834108,0.7261490370736908,0.5661541495171976,0.4111122905071875,0.2780373004531941,0.17513078834515097,0.10273981490249434,0.056134762834133725,0.028565500784550377,0.013538440136652369,0.0059760228950059375,0.0024568164604892857,0.0009406975448679023,0.00033546262790251185,0.00011141793776294907,3.446536829740845e-05,9.929504305851081e-06,2.6643363505138906e-06,6.658361469857314e-07,1.5497531357028997e-07,3.3594989978122907e-08,6.782711498648326e-09,1.2754076295260394e-09,2.2336314362031582e-10,window_26--GCA_009862825.1_ASM986282v1.gbff,1.0
window_16--GCA_007856155.1_ASM785615v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5661541495171976,0.7261490370736908,0.8674284731834108,0.9650691177896804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9650691177896804,0.8674284731834108,0.7261490370736908,0.5661541495171976,0.4111122905071875,0.0,0.0,0.0,0.0,0.0,0.013538440136652369,0.0059760228950059375,0.0024568164604892857,0.0009406975448679023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_26--GCA_009862825.1_ASM986282v1.gbff,0.8953535142654216
window_8--GCA_026898115.1_ASM2689811v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5661541495171976,0.7261490370736908,0.8674284731834108,0.9650691177896804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9650691177896804,0.8674284731834108,0.7261490370736908,0.5661541495171976,0.4111122905071875,0.0,0.0,0.0,0.0,0.0,0.0,0.0059760228950059375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_26--GCA_009862825.1_ASM986282v1.gbff,0.8943208220515494
window_18--GCA_031679605.1_ASM3167960v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5661541495171976,0.7261490370736908,0.8674284731834108,0.9650691177896804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9650691177896804,0.8674284731834108,0.7261490370736908,0.5661541495171976,0.4111122905071875,0.0,0.0,0.0,0.0,0.0,0.0,0.0059760228950059375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_26--GCA_009862825.1_ASM986282v1.gbff,0.8943208220515494
window_17--GCA_009296025.1_ASM929602v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5661541495171976,0.7261490370736908,0.8674284731834108,0.9650691177896804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9650691177896804,0.8674284731834108,0.7261490370736908,0.5661541495171976,0.0,0.0,0.0,0.10273981490249434,0.0,0.0,0.013538440136652369,0.0059760228950059375,0.0024568164604892857,0.0009406975448679023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_26--GCA_009862825.1_ASM986282v1.gbff,0.876550094519525
window_19--GCA_008704495.1_ASM870449v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5661541495171976,0.7261490370736908,0.8674284731834108,0.9650691177896804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9650691177896804,0.8674284731834108,0.7261490370736908,0.5661541495171976,0.0,0.0,0.0,0.0,0.0,0.0,0.013538440136652369,0.0059760228950059375,0.0024568164604892857,0.0009406975448679023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_26--GCA_009862825.1_ASM986282v1.gbff,0.8702853983580434
window_9--GCA_000938975.1_Siranensis.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7261490370736908,0.8674284731834108,0.9650691177896804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_26--GCA_009862825.1_ASM986282v1.gbff,0.643827449601138
window_13--GCA_000418455.1_ASM41845v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7261490370736908,0.8674284731834108,0.9650691177896804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_26--GCA_009862825.1_ASM986282v1.gbff,0.643827449601138
