Locus,Conservation %
AJAB_005280|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,5.93
AJAB_005281|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,4.17
AJAB_005282|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,4.82
AJAB_005283|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,97.59
AJAB_005284|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,100.0
AJAB_005285|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,100.0
AJAB_005286|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,100.0
AJAB_005287|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,3.52
AJAB_005288|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,3.72
AJAB_005289|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,3.65
AJAB_005290|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,3.59
AJAB_005291|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,3.65
AJAB_005292|_|GCA_900090135.1_IMG_taxon_2518645622_annotated_assembly.gbk,3.65
