Gator Windows/Focal Loci,AEGM_000323|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000324|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000325|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000326|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000327|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000328|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000329|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000330|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000331|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000332|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000333|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000334|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000335|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000336|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000337|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000338|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000339|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000340|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000341|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000342|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000343|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000344|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000345|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000346|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000347|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000348|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000349|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000350|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000351|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000352|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000353|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000354|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000355|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000356|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000357|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000358|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000359|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000360|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000361|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000362|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000363|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000364|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000365|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000366|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000367|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000368|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000369|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000370|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000371|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000372|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000373|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000374|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000375|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000376|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000377|_|GCA_030122705.1_ASM3012270v1.gbk,AEGM_000378|_|GCA_030122705.1_ASM3012270v1.gbk,Gator Focal Window,Gator Focal Score
window_6--GCA_030122705.1_ASM3012270v1.gbff,1.7750513585638562e-06,5.756097406877361e-06,1.7671839347366324e-05,5.136553118975955e-05,0.00014135078390762406,0.00036826552782023115,0.0009083648554215826,0.002121270180933379,0.004689948349344859,0.009816949148913819,0.01945456084291661,0.036500829221177374,0.06483663077047035,0.1090371660435466,0.17360613991103707,0.26169294520394,0.37346968721092055,0.5046091365505257,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.5046091365505257,0.37346968721092055,0.26169294520394,0.17360613991103707,0.1090371660435466,0.06483663077047035,0.036500829221177374,0.01945456084291661,0.009816949148913819,0.004689948349344859,0.002121270180933379,0.0009083648554215826,0.00036826552782023115,0.00014135078390762406,5.136553118975955e-05,1.7671839347366324e-05,5.756097406877361e-06,window_6--GCA_030122705.1_ASM3012270v1.gbff,1.0
window_3--GCA_015689475.1_ASM1568947v1.gbff,1.7750513585638562e-06,5.756097406877361e-06,1.7671839347366324e-05,5.136553118975955e-05,0.00014135078390762406,0.00036826552782023115,0.0009083648554215826,0.002121270180933379,0.004689948349344859,0.009816949148913819,0.01945456084291661,0.036500829221177374,0.06483663077047035,0.1090371660435466,0.17360613991103707,0.26169294520394,0.37346968721092055,0.5046091365505257,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.5046091365505257,0.37346968721092055,0.0,0.17360613991103707,0.1090371660435466,0.06483663077047035,0.036500829221177374,0.01945456084291661,0.009816949148913819,0.004689948349344859,0.002121270180933379,0.0009083648554215826,0.00036826552782023115,0.00014135078390762406,5.136553118975955e-05,1.7671839347366324e-05,5.756097406877361e-06,window_6--GCA_030122705.1_ASM3012270v1.gbff,0.987920106851412
window_28--GCA_040653035.1_ASM4065303v1.gbff,1.7750513585638562e-06,5.756097406877361e-06,1.7671839347366324e-05,5.136553118975955e-05,0.00014135078390762406,0.00036826552782023115,0.0009083648554215826,0.002121270180933379,0.004689948349344859,0.009816949148913819,0.01945456084291661,0.036500829221177374,0.06483663077047035,0.1090371660435466,0.17360613991103707,0.26169294520394,0.37346968721092055,0.5046091365505257,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.5046091365505257,0.37346968721092055,0.0,0.17360613991103707,0.1090371660435466,0.06483663077047035,0.036500829221177374,0.01945456084291661,0.009816949148913819,0.004689948349344859,0.002121270180933379,0.0009083648554215826,0.00036826552782023115,0.00014135078390762406,5.136553118975955e-05,1.7671839347366324e-05,5.756097406877361e-06,window_6--GCA_030122705.1_ASM3012270v1.gbff,0.987920106851412
window_14--GCA_002812405.1_ASM281240v1.gbff,1.7750513585638562e-06,5.756097406877361e-06,1.7671839347366324e-05,5.136553118975955e-05,0.00014135078390762406,0.00036826552782023115,0.0009083648554215826,0.002121270180933379,0.004689948349344859,0.009816949148913819,0.01945456084291661,0.036500829221177374,0.06483663077047035,0.1090371660435466,0.17360613991103707,0.26169294520394,0.37346968721092055,0.5046091365505257,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.0,0.6454926035082613,0.5046091365505257,0.37346968721092055,0.0,0.17360613991103707,0.1090371660435466,0.06483663077047035,0.036500829221177374,0.01945456084291661,0.009816949148913819,0.004689948349344859,0.002121270180933379,0.0009083648554215826,0.00036826552782023115,0.00014135078390762406,5.136553118975955e-05,1.7671839347366324e-05,5.756097406877361e-06,window_6--GCA_030122705.1_ASM3012270v1.gbff,0.951834424878283
window_10--GCA_033547115.1_ASM3354711v1.gbff,1.7750513585638562e-06,5.756097406877361e-06,1.7671839347366324e-05,5.136553118975955e-05,0.00014135078390762406,0.00036826552782023115,0.0009083648554215826,0.002121270180933379,0.004689948349344859,0.009816949148913819,0.01945456084291661,0.036500829221177374,0.06483663077047035,0.1090371660435466,0.17360613991103707,0.26169294520394,0.37346968721092055,0.5046091365505257,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,0.9730120179274648,0.896340082349421,0.7817427090689621,0.6454926035082613,0.7817427090689621,0.896340082349421,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.0,0.6454926035082613,0.5046091365505257,0.37346968721092055,0.0,0.17360613991103707,0.1090371660435466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.136553118975955e-05,1.7671839347366324e-05,5.756097406877361e-06,window_6--GCA_030122705.1_ASM3012270v1.gbff,0.9454255770838424
window_4--GCA_003932715.1_ASM393271v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_6--GCA_030122705.1_ASM3012270v1.gbff,0.3620079269099207
window_8--GCA_026898115.1_ASM2689811v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_6--GCA_030122705.1_ASM3012270v1.gbff,0.3620079269099207
window_9--GCA_000938975.1_Siranensis.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_6--GCA_030122705.1_ASM3012270v1.gbff,0.3620079269099207
window_13--GCA_000418455.1_ASM41845v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_6--GCA_030122705.1_ASM3012270v1.gbff,0.3620079269099207
window_16--GCA_007856155.1_ASM785615v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730120179274648,1.0,1.0,1.0,1.0,1.0,0.9730120179274648,0.896340082349421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_6--GCA_030122705.1_ASM3012270v1.gbff,0.3620079269099207
