cblaster search
===============
GCA_000297155.3_ASM29715v3
==========================
CP029159.1
----------
Cluster 1, score 11.7270:
Query         Subject      Identity  Coverage  E-value    Bitscore  Start    End      Strand
intermediate  AABT_006235  -         -         -          -         7453833  7455240  -     
intermediate  AABT_006236  -         -         -          -         7455485  7456268  -     
intermediate  AABT_006237  -         -         -          -         7456866  7460313  +     
intermediate  AABT_006238  -         -         -          -         7460270  7460942  -     
intermediate  AABT_006239  -         -         -          -         7460957  7461749  -     
intermediate  AABT_006240  -         -         -          -         7461865  7462273  -     
intermediate  AABT_006241  -         -         -          -         7462272  7462878  -     
intermediate  AABT_006242  -         -         -          -         7462959  7463946  -     
intermediate  AABT_006243  -         -         -          -         7464486  7465437  -     
intermediate  AABT_006244  -         -         -          -         7465460  7466780  -     
intermediate  AABT_006245  -         -         -          -         7467195  7468098  +     
intermediate  AABT_006246  -         -         -          -         7468212  7469067  -     
intermediate  AABT_006247  -         -         -          -         7469549  7469792  +     
intermediate  AABT_006248  -         -         -          -         7469802  7470912  -     
intermediate  AABT_006249  -         -         -          -         7471000  7471246  +     
intermediate  AABT_006250  -         -         -          -         7471224  7472169  -     
intermediate  AABT_006251  -         -         -          -         7473088  7473868  +     
intermediate  AABT_006252  -         -         -          -         7473934  7476694  +     
intermediate  AABT_006253  -         -         -          -         7476708  7477491  -     
intermediate  AABT_006254  -         -         -          -         7477487  7478654  -     
CAA60459.1    AABT_006255  48.8      59.1      0          5040      7478650  7497907  -     
CAA60461.1    AABT_006256  56.8      97.3      0          1572      7497909  7502508  -     
CAA60468.1    AABT_006257  71.1      98.2      8.84e-164  467       7502504  7503497  -     
CAA60459.1    AABT_006258  49.4      68.4      0          5694      7503717  7526685  +     
CAA60459.1    AABT_006259  55.8      35.4      0          3541      7526689  7537486  +     
CAA60467.1    AABT_006260  77.6      100       3.94e-180  509       7537586  7538624  +     
intermediate  AABT_006261  -         -         -          -         7538620  7539496  +     
intermediate  AABT_006262  -         -         -          -         7539492  7539753  +     
intermediate  AABT_006263  -         -         -          -         7539745  7540846  +     
intermediate  AABT_006264  -         -         -          -         7540856  7541945  +     
intermediate  AABT_006265  -         -         -          -         7541922  7542573  -     
intermediate  AABT_006266  -         -         -          -         7542762  7543515  -     
intermediate  AABT_006267  -         -         -          -         7543527  7544715  -     
intermediate  AABT_006268  -         -         -          -         7544899  7546129  -     
intermediate  AABT_006269  -         -         -          -         7546232  7546700  -     
intermediate  AABT_006270  -         -         -          -         7546759  7547914  +     
intermediate  AABT_006271  -         -         -          -         7547926  7549087  -     
intermediate  AABT_006272  -         -         -          -         7549083  7550421  -     
CAA60459.1    AABT_006273  30.6      4.2       8.6e-35    157       7550417  7552808  -     
intermediate  AABT_006274  -         -         -          -         7552815  7554111  -     
intermediate  AABT_006275  -         -         -          -         7554587  7555091  -     
intermediate  AABT_006276  -         -         -          -         7555087  7555273  -     
intermediate  AABT_006277  -         -         -          -         7555394  7556030  -     
intermediate  AABT_006278  -         -         -          -         7556026  7556596  -     
intermediate  AABT_006279  -         -         -          -         7556588  7556807  -     
intermediate  AABT_006280  -         -         -          -         7557271  7558138  +     
intermediate  AABT_006281  -         -         -          -         7558515  7559223  +     
intermediate  AABT_006282  -         -         -          -         7559369  7560065  +     
intermediate  AABT_006283  -         -         -          -         7560234  7560894  +     
intermediate  AABT_006284  -         -         -          -         7560835  7561639  -     
intermediate  AABT_006285  -         -         -          -         7561635  7562631  -     
intermediate  AABT_006286  -         -         -          -         7562675  7563704  -     
CAA60461.1    AABT_006287  28.4      67        1.67e-76   290       7563774  7568040  -     
intermediate  AABT_006288  -         -         -          -         7568026  7568284  -     
intermediate  AABT_006289  -         -         -          -         7568381  7569974  -     
intermediate  AABT_006290  -         -         -          -         7570136  7570673  -     
intermediate  AABT_006291  -         -         -          -         7570674  7571559  -     
intermediate  AABT_006292  -         -         -          -         7571609  7571849  -     
intermediate  AABT_006293  -         -         -          -         7571845  7572937  -     
intermediate  AABT_006294  -         -         -          -         7573010  7574414  -     
intermediate  AABT_006295  -         -         -          -         7574968  7575193  +     
intermediate  AABT_006296  -         -         -          -         7575189  7577544  +     
intermediate  AABT_006297  -         -         -          -         7577540  7578068  +     
intermediate  AABT_006298  -         -         -          -         7578134  7578887  -     
intermediate  AABT_006299  -         -         -          -         7579520  7581545  +     
intermediate  AABT_006300  -         -         -          -         7581616  7583035  +     


GCA_000418455.1_ASM41845v1
==========================
CP006567.1
----------
Cluster 2, score 16.7447:
Query         Subject      Identity  Coverage  E-value    Bitscore  Start     End       Strand
intermediate  AADR_008228  -         -         -          -         10007082  10008930  +     
intermediate  AADR_008229  -         -         -          -         10008926  10010237  +     
intermediate  AADR_008230  -         -         -          -         10010245  10011022  -     
intermediate  AADR_008231  -         -         -          -         10011381  10012281  +     
intermediate  AADR_008232  -         -         -          -         10012784  10015769  +     
intermediate  AADR_008233  -         -         -          -         10016144  10016927  +     
intermediate  AADR_008234  -         -         -          -         10016940  10017654  +     
intermediate  AADR_008235  -         -         -          -         10017691  10018054  +     
intermediate  AADR_008236  -         -         -          -         10018091  10018682  +     
intermediate  AADR_008237  -         -         -          -         10018767  10019748  +     
intermediate  AADR_008238  -         -         -          -         10019882  10020572  +     
intermediate  AADR_008239  -         -         -          -         10020568  10021594  +     
intermediate  AADR_008240  -         -         -          -         10022066  10023899  +     
intermediate  AADR_008241  -         -         -          -         10024052  10025324  +     
intermediate  AADR_008242  -         -         -          -         10026484  10027504  +     
intermediate  AADR_008243  -         -         -          -         10027507  10027717  +     
intermediate  AADR_008244  -         -         -          -         10027713  10028451  +     
CAA60461.1    AADR_008245  35.3      67.7      1.45e-159  535       10028486  10033433  +     
intermediate  AADR_008246  -         -         -          -         10033510  10034347  -     
intermediate  AADR_008247  -         -         -          -         10035404  10036556  -     
intermediate  AADR_008248  -         -         -          -         10036813  10038211  +     
intermediate  AADR_008249  -         -         -          -         10038220  10039585  +     
intermediate  AADR_008250  -         -         -          -         10039597  10040590  -     
intermediate  AADR_008251  -         -         -          -         10040860  10043581  +     
intermediate  AADR_008252  -         -         -          -         10043634  10044417  -     
intermediate  AADR_008253  -         -         -          -         10044413  10045580  -     
CAA60468.1    AADR_008254  95.5      100       2.74e-231  638       10045610  10046624  -     
CAA60467.1    AADR_008255  98.5      100       2.66e-235  649       10046976  10048008  +     
intermediate  AADR_008256  -         -         -          -         10048111  10049068  +     
intermediate  AADR_008257  -         -         -          -         10049081  10050296  +     
intermediate  AADR_008258  -         -         -          -         10050289  10050526  +     
intermediate  AADR_008259  -         -         -          -         10050628  10051261  -     
CAA60459.1    AADR_008260  46.9      59        0          4368      10051330  10066012  -     
CAA60459.1    AADR_008261  86.2      6.7       0          1128      10066017  10070850  -     
CAA60461.1    AADR_008262  97.9      96.6      0          2806      10070854  10075327  -     
CAA60459.1    AADR_008263  61.3      41.5      0          4417      10075868  10091411  +     
CAA60459.1    AADR_008264  77.9      30.5      0          4598      10091389  10101031  +     
CAA60459.1    AADR_008265  99.5      15.9      0          3090      10101027  10107357  +     
CAA60459.1    AADR_008266  98.3      78.8      0          15218     10107313  10131658  +     
intermediate  AADR_008267  -         -         -          -         10132099  10132894  +     
intermediate  AADR_008268  -         -         -          -         10132913  10133630  +     
intermediate  AADR_008269  -         -         -          -         10133677  10134877  -     
intermediate  AADR_008270  -         -         -          -         10134867  10135530  -     
intermediate  AADR_008271  -         -         -          -         10135735  10137049  +     
intermediate  AADR_008272  -         -         -          -         10137083  10138463  +     
intermediate  AADR_008273  -         -         -          -         10138469  10139177  +     
intermediate  AADR_008274  -         -         -          -         10139196  10139823  -     
intermediate  AADR_008275  -         -         -          -         10139913  10141083  +     
intermediate  AADR_008276  -         -         -          -         10141361  10142792  +     
intermediate  AADR_008277  -         -         -          -         10142882  10144460  +     
intermediate  AADR_008278  -         -         -          -         10144522  10146196  +     
intermediate  AADR_008279  -         -         -          -         10146192  10147746  +     
intermediate  AADR_008280  -         -         -          -         10147791  10148439  +     
intermediate  AADR_008281  -         -         -          -         10148460  10149474  -     
intermediate  AADR_008282  -         -         -          -         10149499  10150000  -     
intermediate  AADR_008283  -         -         -          -         10150028  10150655  -     
intermediate  AADR_008284  -         -         -          -         10151331  10152810  +     
intermediate  AADR_008285  -         -         -          -         10152886  10154221  +     
intermediate  AADR_008286  -         -         -          -         10154210  10155449  +     


GCA_000938975.1_Siranensis
==========================
LK022848.1
----------
Cluster 3, score 20.2608:
Query         Subject      Identity  Coverage  E-value    Bitscore  Start    End      Strand
intermediate  AAOO_007749  -         -         -          -         9562870  9564076  +     
intermediate  AAOO_007750  -         -         -          -         9564278  9566210  +     
intermediate  AAOO_007751  -         -         -          -         9566248  9566755  -     
intermediate  AAOO_007752  -         -         -          -         9566763  9567378  -     
intermediate  AAOO_007753  -         -         -          -         9567575  9567809  +     
intermediate  AAOO_007754  -         -         -          -         9569040  9571956  +     
intermediate  AAOO_007755  -         -         -          -         9571978  9572116  -     
intermediate  AAOO_007756  -         -         -          -         9572345  9572543  +     
intermediate  AAOO_007757  -         -         -          -         9572539  9573322  +     
intermediate  AAOO_007758  -         -         -          -         9573335  9574049  +     
intermediate  AAOO_007759  -         -         -          -         9574086  9574449  +     
intermediate  AAOO_007760  -         -         -          -         9574486  9575077  +     
intermediate  AAOO_007761  -         -         -          -         9575280  9576261  +     
intermediate  AAOO_007762  -         -         -          -         9576317  9577007  +     
intermediate  AAOO_007763  -         -         -          -         9577003  9578029  +     
intermediate  AAOO_007764  -         -         -          -         9578545  9580378  +     
intermediate  AAOO_007765  -         -         -          -         9580483  9581755  +     
intermediate  AAOO_007766  -         -         -          -         9581968  9582430  +     
intermediate  AAOO_007767  -         -         -          -         9582448  9583147  +     
intermediate  AAOO_007768  -         -         -          -         9583161  9584181  +     
intermediate  AAOO_007769  -         -         -          -         9584184  9584394  +     
intermediate  AAOO_007770  -         -         -          -         9584390  9585128  +     
CAA60461.1    AAOO_007771  35.5      67.5      3.08e-163  545       9585142  9590077  +     
intermediate  AAOO_007772  -         -         -          -         9590313  9591306  +     
intermediate  AAOO_007773  -         -         -          -         9591320  9592688  -     
intermediate  AAOO_007774  -         -         -          -         9592697  9594101  -     
intermediate  AAOO_007775  -         -         -          -         9594277  9594511  +     
intermediate  AAOO_007776  -         -         -          -         9594507  9595656  +     
intermediate  AAOO_007777  -         -         -          -         9595860  9596112  +     
intermediate  AAOO_007778  -         -         -          -         9596068  9596845  +     
intermediate  AAOO_007779  -         -         -          -         9597130  9597967  +     
intermediate  AAOO_007780  -         -         -          -         9598214  9600920  +     
intermediate  AAOO_007781  -         -         -          -         9600973  9601744  -     
intermediate  AAOO_007782  -         -         -          -         9601752  9602919  -     
CAA60468.1    AAOO_007783  90.5      100       9.61e-216  599       9602949  9603963  -     
CAA60467.1    AAOO_007784  93.9      100       3.4e-222   616       9604314  9605346  +     
intermediate  AAOO_007785  -         -         -          -         9605561  9606518  +     
intermediate  AAOO_007786  -         -         -          -         9606664  9607879  +     
intermediate  AAOO_007787  -         -         -          -         9607872  9608109  +     
intermediate  AAOO_007788  -         -         -          -         9608210  9608747  -     
CAA60459.1    AAOO_007789  68.7      54.5      0          7340      9608910  9626955  -     
CAA60459.1    AAOO_007790  87.6      6         0          1064      9626999  9629306  -     
CAA60461.1    AAOO_007791  90.8      96.6      0          2645      9629310  9633801  -     
CAA60459.1    AAOO_007792  66.9      19.5      0          2451      9634340  9642047  +     
CAA60459.1    AAOO_007793  76.7      34.1      0          4988      9642179  9652769  +     
CAA60459.1    AAOO_007794  81.9      2         4.12e-97   322       9652735  9653374  +     
CAA60459.1    AAOO_007795  83        10.6      0          1720      9653337  9656697  +     
CAA60459.1    AAOO_007796  81.9      14.1      0          2258      9656702  9661283  +     
CAA60459.1    AAOO_007797  92        1.6       6.11e-91   303       9661279  9661810  +     
intermediate  AAOO_007798  -         -         -          -         9661796  9661904  +     
