Locus,Conservation %
ADRN_003260|_|GCA_024213195.1_ASM2421319v1.gbk,0.66
ADRN_003261|_|GCA_024213195.1_ASM2421319v1.gbk,0.77
ADRN_003262|_|GCA_024213195.1_ASM2421319v1.gbk,0.74
ADRN_003263|_|GCA_024213195.1_ASM2421319v1.gbk,98.98
ADRN_003264|_|GCA_024213195.1_ASM2421319v1.gbk,100.0
ADRN_003265|_|GCA_024213195.1_ASM2421319v1.gbk,100.0
ADRN_003266|_|GCA_024213195.1_ASM2421319v1.gbk,100.0
ADRN_003267|_|GCA_024213195.1_ASM2421319v1.gbk,17.03
ADRN_003268|_|GCA_024213195.1_ASM2421319v1.gbk,1.18
ADRN_003269|_|GCA_024213195.1_ASM2421319v1.gbk,16.04
ADRN_003270|_|GCA_024213195.1_ASM2421319v1.gbk,15.77
ADRN_003271|_|GCA_024213195.1_ASM2421319v1.gbk,11.42
ADRN_003272|_|GCA_024213195.1_ASM2421319v1.gbk,8.72
ADRN_003273|_|GCA_024213195.1_ASM2421319v1.gbk,4.05
ADRN_003274|_|GCA_024213195.1_ASM2421319v1.gbk,0.61
