Gator Windows/Focal Loci,ACMB_010168|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010169|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010170|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010171|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010172|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010173|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010174|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010175|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010176|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010177|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010178|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010179|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010180|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010181|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010182|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010183|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010184|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010185|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010186|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010187|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010188|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010189|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010190|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010191|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010192|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010193|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010194|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010195|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010196|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010197|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010198|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010199|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010200|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010201|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010202|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010203|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010204|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010205|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010206|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010207|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010208|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010209|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010210|_|GCA_014205315.1_ASM1420531v1.gbk,ACMB_010211|_|GCA_014205315.1_ASM1420531v1.gbk,Gator Focal Window,Gator Focal Score
window_24--GCA_014205315.1_ASM1420531v1.gbff,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.8389677680154147,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.4954286351138361,0.33373978049163083,0.4954286351138361,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.4954286351138361,0.33373978049163083,0.20592424643419874,0.11638034301664807,0.060245472999931965,0.02856550078455038,0.012406003628582862,0.0049350846190142844,0.0017981666618475832,0.0006001197470123815,0.00018345034445898191,5.1365531189759374e-05,1.3173393776587542e-05,3.09454072241981e-06,6.658361469857315e-07,window_24--GCA_014205315.1_ASM1420531v1.gbff,1.0
window_9--GCA_000938975.1_Siranensis.gbff,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.8389677680154147,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.4954286351138361,0.33373978049163083,0.4954286351138361,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.4954286351138361,0.33373978049163083,0.20592424643419874,0.11638034301664807,0.060245472999931965,0.02856550078455038,0.012406003628582862,0.0049350846190142844,0.0017981666618475832,0.0006001197470123815,0.00018345034445898191,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.9999973536254585
window_13--GCA_000418455.1_ASM41845v1.gbff,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.8389677680154147,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.4954286351138361,0.33373978049163083,0.4954286351138361,0.6736384553447268,0.0,0.9570537274208658,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.0,0.33373978049163083,0.20592424643419874,0.11638034301664807,0.060245472999931965,0.02856550078455038,0.012406003628582862,0.0049350846190142844,0.0017981666618475832,0.0006001197470123815,0.00018345034445898191,5.1365531189759374e-05,1.3173393776587542e-05,3.09454072241981e-06,6.658361469857315e-07,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.9482965041421181
window_29--GCA_025568765.1_ASM2556876v1.gbff,0.0,0.0,0.0,0.0,0.8389677680154147,0.6736384553447268,0.0,0.9570537274208658,1.0,0.0,0.9570537274208658,0.8389677680154147,0.8389677680154147,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.4954286351138361,0.33373978049163083,0.4954286351138361,0.6736384553447268,0.8389677680154147,0.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.4954286351138361,0.0,0.20592424643419874,0.11638034301664807,0.060245472999931965,0.02856550078455038,0.012406003628582862,0.0049350846190142844,0.0017981666618475832,0.0006001197470123815,0.00018345034445898191,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.7270704805532924
window_30--GCA_041365895.1_ASM4136589v1.gbff,0.0,0.0,0.0,0.0,0.8389677680154147,0.6736384553447268,0.0,0.9570537274208658,1.0,0.0,0.9570537274208658,0.8389677680154147,0.8389677680154147,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.4954286351138361,0.33373978049163083,0.4954286351138361,0.6736384553447268,0.8389677680154147,0.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.4954286351138361,0.0,0.20592424643419874,0.11638034301664807,0.060245472999931965,0.02856550078455038,0.012406003628582862,0.0049350846190142844,0.0017981666618475832,0.0006001197470123815,0.00018345034445898191,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.7270704805532924
window_27--GCA_017874715.1_ASM1787471v1.gbff,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.8389677680154147,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.9570537274208658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.7067981416313236
window_17--GCA_009296025.1_ASM929602v1.gbff,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.8389677680154147,0.0,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.5630427805084516
window_8--GCA_026898115.1_ASM2689811v1.gbff,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.5305355237317111
window_18--GCA_031679605.1_ASM3167960v1.gbff,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.5305355237317111
window_3--GCA_015689475.1_ASM1568947v1.gbff,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9570537274208658,0.0,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.4980282669549706
window_6--GCA_030122705.1_ASM3012270v1.gbff,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9570537274208658,0.0,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.4980282669549706
window_10--GCA_033547115.1_ASM3354711v1.gbff,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9570537274208658,0.0,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.4980282669549706
window_14--GCA_002812405.1_ASM281240v1.gbff,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9570537274208658,0.0,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.4980282669549706
window_28--GCA_040653035.1_ASM4065303v1.gbff,0.9570537274208658,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9570537274208658,0.0,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.4980282669549706
window_16--GCA_007856155.1_ASM785615v1.gbff,0.0,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.49345282228300064
window_21--GCA_016919685.1_ASM1691968v1.gbff,0.0,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.49345282228300064
window_23--GCA_004295505.1_ASM429550v1.gbff,0.0,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.49345282228300064
window_26--GCA_009862825.1_ASM986282v1.gbff,0.0,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.49345282228300064
window_19--GCA_008704495.1_ASM870449v1.gbff,0.0,1.0,0.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.8389677680154147,0.9570537274208658,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9570537274208658,0.8389677680154147,0.6736384553447268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570537274208658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_24--GCA_014205315.1_ASM1420531v1.gbff,0.4917887946962957
