Locus,Conservation %
AADQ_006268|_|GCA_000415505.1_STAFG.gbk,0.72
AADQ_006269|_|GCA_000415505.1_STAFG.gbk,0.72
AADQ_006270|_|GCA_000415505.1_STAFG.gbk,0.72
AADQ_006271|_|GCA_000415505.1_STAFG.gbk,0.84
AADQ_006272|_|GCA_000415505.1_STAFG.gbk,0.36
AADQ_006273|_|GCA_000415505.1_STAFG.gbk,100.0
AADQ_006274|_|GCA_000415505.1_STAFG.gbk,100.0
AADQ_006275|_|GCA_000415505.1_STAFG.gbk,100.0
AADQ_006276|_|GCA_000415505.1_STAFG.gbk,95.57
AADQ_006277|_|GCA_000415505.1_STAFG.gbk,3.35
AADQ_006278|_|GCA_000415505.1_STAFG.gbk,3.11
AADQ_006279|_|GCA_000415505.1_STAFG.gbk,0.96
AADQ_006280|_|GCA_000415505.1_STAFG.gbk,6.71
