Locus,Conservation %
ABYQ_006335|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006336|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006337|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006338|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006339|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006340|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006341|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006342|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006343|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006344|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006345|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006346|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006347|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006348|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006349|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006350|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006351|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006352|_|GCA_009296025.1_ASM929602v1.gbk,47.62
ABYQ_006353|_|GCA_009296025.1_ASM929602v1.gbk,100.0
ABYQ_006354|_|GCA_009296025.1_ASM929602v1.gbk,76.19
ABYQ_006355|_|GCA_009296025.1_ASM929602v1.gbk,100.0
ABYQ_006356|_|GCA_009296025.1_ASM929602v1.gbk,100.0
ABYQ_006357|_|GCA_009296025.1_ASM929602v1.gbk,90.48
ABYQ_006358|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006359|_|GCA_009296025.1_ASM929602v1.gbk,66.67
ABYQ_006360|_|GCA_009296025.1_ASM929602v1.gbk,90.48
ABYQ_006361|_|GCA_009296025.1_ASM929602v1.gbk,100.0
ABYQ_006362|_|GCA_009296025.1_ASM929602v1.gbk,71.43
ABYQ_006363|_|GCA_009296025.1_ASM929602v1.gbk,90.48
ABYQ_006364|_|GCA_009296025.1_ASM929602v1.gbk,100.0
ABYQ_006365|_|GCA_009296025.1_ASM929602v1.gbk,47.62
ABYQ_006366|_|GCA_009296025.1_ASM929602v1.gbk,47.62
ABYQ_006367|_|GCA_009296025.1_ASM929602v1.gbk,47.62
ABYQ_006368|_|GCA_009296025.1_ASM929602v1.gbk,47.62
ABYQ_006369|_|GCA_009296025.1_ASM929602v1.gbk,42.86
ABYQ_006370|_|GCA_009296025.1_ASM929602v1.gbk,23.81
ABYQ_006371|_|GCA_009296025.1_ASM929602v1.gbk,38.1
ABYQ_006372|_|GCA_009296025.1_ASM929602v1.gbk,47.62
ABYQ_006373|_|GCA_009296025.1_ASM929602v1.gbk,38.1
ABYQ_006374|_|GCA_009296025.1_ASM929602v1.gbk,38.1
ABYQ_006375|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006376|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006377|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006378|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006379|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006380|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006381|_|GCA_009296025.1_ASM929602v1.gbk,71.43
ABYQ_006382|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006383|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006384|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006385|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006386|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006387|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006388|_|GCA_009296025.1_ASM929602v1.gbk,4.76
ABYQ_006389|_|GCA_009296025.1_ASM929602v1.gbk,4.76
