Locus,Conservation %
AJDK_002656|_|GCA_900290435.1_S2.gbk,0.11
AJDK_002657|_|GCA_900290435.1_S2.gbk,3.41
AJDK_002658|_|GCA_900290435.1_S2.gbk,6.7
AJDK_002659|_|GCA_900290435.1_S2.gbk,22.75
AJDK_002660|_|GCA_900290435.1_S2.gbk,27.03
AJDK_002661|_|GCA_900290435.1_S2.gbk,5.71
AJDK_002662|_|GCA_900290435.1_S2.gbk,30.0
AJDK_002663|_|GCA_900290435.1_S2.gbk,100.0
AJDK_002664|_|GCA_900290435.1_S2.gbk,100.0
AJDK_002665|_|GCA_900290435.1_S2.gbk,100.0
AJDK_002666|_|GCA_900290435.1_S2.gbk,95.93
AJDK_002667|_|GCA_900290435.1_S2.gbk,1.65
AJDK_002668|_|GCA_900290435.1_S2.gbk,1.98
