Locus,Conservation %
ACZH_006413|_|GCA_016919685.1_ASM1691968v1.gbk,10.53
ACZH_006414|_|GCA_016919685.1_ASM1691968v1.gbk,10.53
ACZH_006415|_|GCA_016919685.1_ASM1691968v1.gbk,10.53
ACZH_006416|_|GCA_016919685.1_ASM1691968v1.gbk,10.53
ACZH_006417|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006418|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006419|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006420|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006421|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006422|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006423|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006424|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006425|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006426|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006427|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006428|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006429|_|GCA_016919685.1_ASM1691968v1.gbk,42.11
ACZH_006430|_|GCA_016919685.1_ASM1691968v1.gbk,100.0
ACZH_006431|_|GCA_016919685.1_ASM1691968v1.gbk,73.68
ACZH_006432|_|GCA_016919685.1_ASM1691968v1.gbk,100.0
ACZH_006433|_|GCA_016919685.1_ASM1691968v1.gbk,89.47
ACZH_006434|_|GCA_016919685.1_ASM1691968v1.gbk,89.47
ACZH_006435|_|GCA_016919685.1_ASM1691968v1.gbk,100.0
ACZH_006436|_|GCA_016919685.1_ASM1691968v1.gbk,89.47
ACZH_006437|_|GCA_016919685.1_ASM1691968v1.gbk,84.21
ACZH_006438|_|GCA_016919685.1_ASM1691968v1.gbk,100.0
ACZH_006439|_|GCA_016919685.1_ASM1691968v1.gbk,100.0
ACZH_006440|_|GCA_016919685.1_ASM1691968v1.gbk,100.0
ACZH_006441|_|GCA_016919685.1_ASM1691968v1.gbk,42.11
ACZH_006442|_|GCA_016919685.1_ASM1691968v1.gbk,42.11
ACZH_006443|_|GCA_016919685.1_ASM1691968v1.gbk,42.11
ACZH_006444|_|GCA_016919685.1_ASM1691968v1.gbk,42.11
ACZH_006445|_|GCA_016919685.1_ASM1691968v1.gbk,31.58
ACZH_006446|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006447|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006448|_|GCA_016919685.1_ASM1691968v1.gbk,21.05
ACZH_006449|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006450|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006451|_|GCA_016919685.1_ASM1691968v1.gbk,31.58
ACZH_006452|_|GCA_016919685.1_ASM1691968v1.gbk,42.11
ACZH_006453|_|GCA_016919685.1_ASM1691968v1.gbk,31.58
ACZH_006454|_|GCA_016919685.1_ASM1691968v1.gbk,31.58
ACZH_006455|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006456|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006457|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006458|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006459|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006460|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006461|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006462|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006463|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006464|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
ACZH_006465|_|GCA_016919685.1_ASM1691968v1.gbk,15.79
