Locus,Conservation %
AECQ_004316|_|GCA_028464045.1_ASM2846404v1.gbk,3.32
AECQ_004317|_|GCA_028464045.1_ASM2846404v1.gbk,4.12
AECQ_004318|_|GCA_028464045.1_ASM2846404v1.gbk,100.0
AECQ_004319|_|GCA_028464045.1_ASM2846404v1.gbk,100.0
AECQ_004320|_|GCA_028464045.1_ASM2846404v1.gbk,100.0
AECQ_004321|_|GCA_028464045.1_ASM2846404v1.gbk,96.28
AECQ_004322|_|GCA_028464045.1_ASM2846404v1.gbk,5.93
AECQ_004323|_|GCA_028464045.1_ASM2846404v1.gbk,11.36
AECQ_004324|_|GCA_028464045.1_ASM2846404v1.gbk,6.43
AECQ_004325|_|GCA_028464045.1_ASM2846404v1.gbk,4.32
AECQ_004326|_|GCA_028464045.1_ASM2846404v1.gbk,2.51
