Locus,Conservation %
AAOO_007749|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007750|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007751|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007752|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007753|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007754|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007755|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007756|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007757|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007758|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007759|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007760|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007761|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007762|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007763|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007764|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007765|_|GCA_000938975.1_Siranensis.gbk,23.33
AAOO_007766|_|GCA_000938975.1_Siranensis.gbk,26.67
AAOO_007767|_|GCA_000938975.1_Siranensis.gbk,26.67
AAOO_007768|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007769|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007770|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007771|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007772|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007773|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007774|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007775|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007776|_|GCA_000938975.1_Siranensis.gbk,30.0
AAOO_007777|_|GCA_000938975.1_Siranensis.gbk,26.67
AAOO_007778|_|GCA_000938975.1_Siranensis.gbk,26.67
AAOO_007779|_|GCA_000938975.1_Siranensis.gbk,26.67
AAOO_007780|_|GCA_000938975.1_Siranensis.gbk,100.0
AAOO_007781|_|GCA_000938975.1_Siranensis.gbk,66.67
AAOO_007782|_|GCA_000938975.1_Siranensis.gbk,100.0
AAOO_007783|_|GCA_000938975.1_Siranensis.gbk,100.0
AAOO_007784|_|GCA_000938975.1_Siranensis.gbk,100.0
AAOO_007785|_|GCA_000938975.1_Siranensis.gbk,33.33
AAOO_007786|_|GCA_000938975.1_Siranensis.gbk,36.67
AAOO_007787|_|GCA_000938975.1_Siranensis.gbk,33.33
AAOO_007788|_|GCA_000938975.1_Siranensis.gbk,33.33
AAOO_007789|_|GCA_000938975.1_Siranensis.gbk,93.33
AAOO_007790|_|GCA_000938975.1_Siranensis.gbk,100.0
AAOO_007791|_|GCA_000938975.1_Siranensis.gbk,93.33
AAOO_007792|_|GCA_000938975.1_Siranensis.gbk,93.33
AAOO_007793|_|GCA_000938975.1_Siranensis.gbk,93.33
AAOO_007794|_|GCA_000938975.1_Siranensis.gbk,100.0
AAOO_007795|_|GCA_000938975.1_Siranensis.gbk,100.0
AAOO_007796|_|GCA_000938975.1_Siranensis.gbk,100.0
AAOO_007797|_|GCA_000938975.1_Siranensis.gbk,100.0
AAOO_007798|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007799|_|GCA_000938975.1_Siranensis.gbk,50.0
AAOO_007800|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007801|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007802|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007803|_|GCA_000938975.1_Siranensis.gbk,20.0
AAOO_007804|_|GCA_000938975.1_Siranensis.gbk,20.0
AAOO_007805|_|GCA_000938975.1_Siranensis.gbk,20.0
AAOO_007806|_|GCA_000938975.1_Siranensis.gbk,20.0
AAOO_007807|_|GCA_000938975.1_Siranensis.gbk,20.0
AAOO_007808|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007809|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007810|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007811|_|GCA_000938975.1_Siranensis.gbk,20.0
AAOO_007812|_|GCA_000938975.1_Siranensis.gbk,20.0
AAOO_007813|_|GCA_000938975.1_Siranensis.gbk,20.0
AAOO_007814|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007815|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007816|_|GCA_000938975.1_Siranensis.gbk,3.33
AAOO_007817|_|GCA_000938975.1_Siranensis.gbk,3.33
