Gator Windows/Focal Loci,AEBE_007502|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007503|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007504|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007505|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007506|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007507|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007508|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007509|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007510|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007511|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007512|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007513|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007514|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007515|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007516|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007517|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007518|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007519|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007520|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007521|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007522|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007523|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007524|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007525|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007526|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007527|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007528|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007529|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007530|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007531|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007532|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007533|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007534|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007535|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007536|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007537|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007538|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007539|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007540|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007541|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007542|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007543|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007544|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007545|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007546|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007547|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007548|_|GCA_026898115.1_ASM2689811v1.gbk,AEBE_007549|_|GCA_026898115.1_ASM2689811v1.gbk,Gator Focal Window,Gator Focal Score
window_8--GCA_026898115.1_ASM2689811v1.gbff,1.569424285489838e-06,6.17499748668038e-06,2.256195032108293e-05,7.655259709911212e-05,0.0002412051945013711,0.0007057596428454744,0.00191765475603155,0.004838686222893773,0.011337777639490308,0.024670153247491507,0.04984931516330449,0.09353840976652202,0.1629912180018454,0.2637435606300107,0.3963172373026287,0.5530284778053695,0.7166307942682596,0.8623565649077091,0.9636553092167803,1.0,1.0,1.0,1.0,1.0,1.0,0.9636553092167803,0.8623565649077091,0.7166307942682596,0.5530284778053695,0.3963172373026287,0.2637435606300107,0.1629912180018454,0.09353840976652202,0.04984931516330449,0.024670153247491507,0.011337777639490308,0.004838686222893773,0.00191765475603155,0.0007057596428454744,0.0002412051945013711,7.655259709911212e-05,2.256195032108293e-05,6.17499748668038e-06,1.569424285489838e-06,3.704139969102129e-07,8.118538349144054e-08,1.6523868906452246e-08,3.123122880677208e-09,window_8--GCA_026898115.1_ASM2689811v1.gbff,1.0
window_18--GCA_031679605.1_ASM3167960v1.gbff,1.569424285489838e-06,6.17499748668038e-06,0.0,7.655259709911212e-05,0.0002412051945013711,0.0007057596428454744,0.00191765475603155,0.004838686222893773,0.011337777639490308,0.024670153247491507,0.04984931516330449,0.09353840976652202,0.1629912180018454,0.2637435606300107,0.3963172373026287,0.5530284778053695,0.7166307942682596,0.8623565649077091,0.9636553092167803,1.0,1.0,1.0,1.0,1.0,1.0,0.9636553092167803,0.8623565649077091,0.7166307942682596,0.5530284778053695,0.3963172373026287,0.2637435606300107,0.1629912180018454,0.09353840976652202,0.04984931516330449,0.024670153247491507,0.011337777639490308,0.004838686222893773,0.00191765475603155,0.0007057596428454744,0.0002412051945013711,7.655259709911212e-05,2.256195032108293e-05,6.17499748668038e-06,1.569424285489838e-06,3.704139969102129e-07,8.118538349144054e-08,1.6523868906452246e-08,3.123122880677208e-09,window_8--GCA_026898115.1_ASM2689811v1.gbff,0.999998412456019
window_16--GCA_007856155.1_ASM785615v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3963172373026287,0.5530284778053695,0.7166307942682596,0.8623565649077091,0.9636553092167803,1.0,1.0,1.0,1.0,1.0,1.0,0.9636553092167803,0.8623565649077091,0.7166307942682596,0.5530284778053695,0.3963172373026287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6523868906452246e-08,0.0,window_8--GCA_026898115.1_ASM2689811v1.gbff,0.9136016124380644
window_21--GCA_016919685.1_ASM1691968v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3963172373026287,0.5530284778053695,0.7166307942682596,0.8623565649077091,0.9636553092167803,1.0,1.0,1.0,1.0,1.0,1.0,0.9636553092167803,0.8623565649077091,0.7166307942682596,0.5530284778053695,0.3963172373026287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6523868906452246e-08,0.0,window_8--GCA_026898115.1_ASM2689811v1.gbff,0.9136016124380644
window_23--GCA_004295505.1_ASM429550v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3963172373026287,0.5530284778053695,0.7166307942682596,0.8623565649077091,0.9636553092167803,1.0,1.0,1.0,1.0,1.0,1.0,0.9636553092167803,0.8623565649077091,0.7166307942682596,0.5530284778053695,0.3963172373026287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6523868906452246e-08,0.0,window_8--GCA_026898115.1_ASM2689811v1.gbff,0.9136016124380644
window_17--GCA_009296025.1_ASM929602v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3963172373026287,0.5530284778053695,0.7166307942682596,0.8623565649077091,0.9636553092167803,1.0,1.0,1.0,1.0,1.0,1.0,0.9636553092167803,0.8623565649077091,0.7166307942682596,0.5530284778053695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6523868906452246e-08,0.0,window_8--GCA_026898115.1_ASM2689811v1.gbff,0.8857152357852581
window_26--GCA_009862825.1_ASM986282v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3963172373026287,0.5530284778053695,0.7166307942682596,0.8623565649077091,0.9636553092167803,1.0,1.0,1.0,0.0,1.0,1.0,0.9636553092167803,0.8623565649077091,0.7166307942682596,0.5530284778053695,0.3963172373026287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6523868906452246e-08,0.0,window_8--GCA_026898115.1_ASM2689811v1.gbff,0.8432378380975802
window_19--GCA_008704495.1_ASM870449v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3963172373026287,0.5530284778053695,0.7166307942682596,0.8623565649077091,0.9636553092167803,1.0,1.0,1.0,0.0,1.0,1.0,0.9636553092167803,0.8623565649077091,0.7166307942682596,0.5530284778053695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6523868906452246e-08,0.0,window_8--GCA_026898115.1_ASM2689811v1.gbff,0.8153514614447739
window_9--GCA_000938975.1_Siranensis.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7166307942682596,0.8623565649077091,0.9636553092167803,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_8--GCA_026898115.1_ASM2689811v1.gbff,0.6010925809901791
window_13--GCA_000418455.1_ASM41845v1.gbff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7166307942682596,0.8623565649077091,0.9636553092167803,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window_8--GCA_026898115.1_ASM2689811v1.gbff,0.6010925809901791
