query_protein	query_type	is_nrps	is_pks	start_position	end_position	locus	genome_contig_id	window
IO40_RS0119000_elongation_factor_G	req	False	False	1771	3901	AGDW_001540|_|GCA_040303125.1_ASM4030312v1.gbk	GCA_040303125.1_ASM4030312v1.gbk|-|JBEOSS010000056.1	1
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	3940	4411	AGDW_001541|_|GCA_040303125.1_ASM4030312v1.gbk	GCA_040303125.1_ASM4030312v1.gbk|-|JBEOSS010000056.1	1
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	4413	4785	AGDW_001542|_|GCA_040303125.1_ASM4030312v1.gbk	GCA_040303125.1_ASM4030312v1.gbk|-|JBEOSS010000056.1	1
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	91724	92096	AIOW_003478|_|GCA_040685755.1_ASM4068575v1.gbk	GCA_040685755.1_ASM4068575v1.gbk|-|JBFBIW010000017.1	2
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	92098	92569	AIOW_003479|_|GCA_040685755.1_ASM4068575v1.gbk	GCA_040685755.1_ASM4068575v1.gbk|-|JBFBIW010000017.1	2
IO40_RS0119000_elongation_factor_G	req	False	False	92608	94735	AIOW_003480|_|GCA_040685755.1_ASM4068575v1.gbk	GCA_040685755.1_ASM4068575v1.gbk|-|JBFBIW010000017.1	2
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	22795	23167	AEQM_009350|_|GCA_033793565.1_ASM3379356v1.gbk	GCA_033793565.1_ASM3379356v1.gbk|-|JARAWW010000090.1	3
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	23169	23640	AEQM_009351|_|GCA_033793565.1_ASM3379356v1.gbk	GCA_033793565.1_ASM3379356v1.gbk|-|JARAWW010000090.1	3
IO40_RS0119000_elongation_factor_G	req	False	False	23679	25809	AEQM_009352|_|GCA_033793565.1_ASM3379356v1.gbk	GCA_033793565.1_ASM3379356v1.gbk|-|JARAWW010000090.1	3
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	4485980	4486352	AELB_003939|_|GCA_031760065.1_ASM3176006v1.gbk	GCA_031760065.1_ASM3176006v1.gbk|-|CP134500.1	4
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	4486354	4486825	AELB_003940|_|GCA_031760065.1_ASM3176006v1.gbk	GCA_031760065.1_ASM3176006v1.gbk|-|CP134500.1	4
IO40_RS0119000_elongation_factor_G	req	False	False	4486863	4488993	AELB_003941|_|GCA_031760065.1_ASM3176006v1.gbk	GCA_031760065.1_ASM3176006v1.gbk|-|CP134500.1	4
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	4677722	4678094	ABXQ_004101|_|GCA_008704445.1_ASM870444v1.gbk	GCA_008704445.1_ASM870444v1.gbk|-|CP023697.1	5
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	4678096	4678567	ABXQ_004102|_|GCA_008704445.1_ASM870444v1.gbk	GCA_008704445.1_ASM870444v1.gbk|-|CP023697.1	5
IO40_RS0119000_elongation_factor_G	req	False	False	4678606	4680733	ABXQ_004103|_|GCA_008704445.1_ASM870444v1.gbk	GCA_008704445.1_ASM870444v1.gbk|-|CP023697.1	5
IO40_RS0119000_elongation_factor_G	req	False	False	233072	235199	AHXE_005911|_|GCA_040651535.1_ASM4065153v1.gbk	GCA_040651535.1_ASM4065153v1.gbk|-|JBEZKG010000016.1	6
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	235238	235709	AHXE_005912|_|GCA_040651535.1_ASM4065153v1.gbk	GCA_040651535.1_ASM4065153v1.gbk|-|JBEZKG010000016.1	6
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	235711	236083	AHXE_005913|_|GCA_040651535.1_ASM4065153v1.gbk	GCA_040651535.1_ASM4065153v1.gbk|-|JBEZKG010000016.1	6
IO40_RS0119000_elongation_factor_G	req	False	False	1360052	1362137	ABYX_001243|_|GCA_009495655.1_ASM949565v1.gbk	GCA_009495655.1_ASM949565v1.gbk|-|CP045547.1	NA
IO40_RS0119000_elongation_factor_G	req	False	False	3600016	3602143	ABYX_003144|_|GCA_009495655.1_ASM949565v1.gbk	GCA_009495655.1_ASM949565v1.gbk|-|CP045547.1	7
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	3602182	3602653	ABYX_003145|_|GCA_009495655.1_ASM949565v1.gbk	GCA_009495655.1_ASM949565v1.gbk|-|CP045547.1	7
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	3602655	3603027	ABYX_003146|_|GCA_009495655.1_ASM949565v1.gbk	GCA_009495655.1_ASM949565v1.gbk|-|CP045547.1	7
IO40_RS0119000_elongation_factor_G	req	False	False	3929	6059	ACEU_005975|_|GCA_010548525.1_ASM1054852v1.gbk	GCA_010548525.1_ASM1054852v1.gbk|-|JAAGMG010001218.1	8
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	6098	6569	ACEU_005976|_|GCA_010548525.1_ASM1054852v1.gbk	GCA_010548525.1_ASM1054852v1.gbk|-|JAAGMG010001218.1	8
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	6571	6943	ACEU_005977|_|GCA_010548525.1_ASM1054852v1.gbk	GCA_010548525.1_ASM1054852v1.gbk|-|JAAGMG010001218.1	8
IO40_RS0119000_elongation_factor_G	req	False	False	312544	314674	AEEU_004813|_|GCA_029892565.1_ASM2989256v1.gbk	GCA_029892565.1_ASM2989256v1.gbk|-|JARXVH010000007.1	9
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	314713	315184	AEEU_004814|_|GCA_029892565.1_ASM2989256v1.gbk	GCA_029892565.1_ASM2989256v1.gbk|-|JARXVH010000007.1	9
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	315187	315559	AEEU_004815|_|GCA_029892565.1_ASM2989256v1.gbk	GCA_029892565.1_ASM2989256v1.gbk|-|JARXVH010000007.1	9
IO40_RS0119000_elongation_factor_G	req	False	False	2459432	2461481	AIYI_002272|_|GCA_041435115.1_ASM4143511v1.gbk	GCA_041435115.1_ASM4143511v1.gbk|-|CP108046.1	NA
IO40_RS0119000_elongation_factor_G	req	False	False	4404438	4406568	AIYI_003940|_|GCA_041435115.1_ASM4143511v1.gbk	GCA_041435115.1_ASM4143511v1.gbk|-|CP108046.1	10
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	4406607	4407078	AIYI_003941|_|GCA_041435115.1_ASM4143511v1.gbk	GCA_041435115.1_ASM4143511v1.gbk|-|CP108046.1	10
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	4407080	4407452	AIYI_003942|_|GCA_041435115.1_ASM4143511v1.gbk	GCA_041435115.1_ASM4143511v1.gbk|-|CP108046.1	10
